PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2
1,0.00E+00,1.95E+04,5.63E+03,1.11E+04,9.71E+02
1.2932,0.00E+00,1.09E+04,2.44E+03,4.80E+03,5.40E+02
1.3035,2.02E+05,1.07E+04,2.38E+03,4.67E+03,5.30E+02
1.5,1.49E+05,7.68E+03,1.49E+03,2.93E+03,3.81E+02
2,7.22E+04,3.81E+03,5.60E+02,1.10E+03,1.89E+02
3,2.47E+04,1.35E+03,1.35E+02,2.64E+02,6.71E+01
4,1.11E+04,6.28E+02,4.76E+01,9.30E+01,3.12E+01
5,5.92E+03,3.41E+02,2.09E+01,4.07E+01,1.70E+01
6,3.50E+03,2.05E+02,1.06E+01,2.05E+01,1.02E+01
8,1.50E+03,9.02E+01,3.53E+00,6.83E+00,4.49E+00
10,7.71E+02,4.70E+01,1.49E+00,2.87E+00,2.34E+00
15,2.24E+02,1.40E+01,3.01E-01,5.76E-01,6.98E-01
20,9.18E+01,5.80E+00,9.58E-02,1.82E-01,2.90E-01
30,2.56E+01,1.64E+00,1.89E-02,3.54E-02,8.20E-02
40,1.02E+01,6.60E-01,5.98E-03,1.10E-02,3.30E-02
50,4.99E+00,3.24E-01,2.44E-03,4.47E-03,1.62E-02
60,2.77E+00,1.80E-01,1.18E-03,2.14E-03,9.03E-03
80,1.09E+00,7.13E-02,3.77E-04,6.71E-04,3.57E-03
100,5.29E-01,3.47E-02,1.57E-04,2.76E-04,1.74E-03
150,1.43E-01,9.40E-03,3.33E-05,5.69E-05,4.71E-04
200,5.71E-02,3.77E-03,1.15E-05,1.93E-05,1.89E-04
300,1.63E-02,1.08E-03,2.78E-06,4.61E-06,5.40E-05
400,7.04E-03,4.66E-04,1.08E-06,1.81E-06,2.33E-05
500,3.82E-03,2.52E-04,5.44E-07,9.30E-07,1.26E-05
600,2.38E-03,1.57E-04,3.19E-07,5.65E-07,7.89E-06
800,1.20E-03,7.96E-05,1.47E-07,2.75E-07,4.00E-06
1000,7.49E-04,4.95E-05,8.50E-08,1.68E-07,2.49E-06
1500,3.52E-04,2.33E-05,3.47E-08,7.70E-08,1.19E-06
