PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2
1,0.00E+00,5.89E+04,4.56E+04,8.93E+04,7.00E+03,3.44E+03,6.73E+03
1.5,0.00E+00,2.64E+04,1.37E+04,2.67E+04,3.04E+03,1.09E+03,2.12E+03
2,0.00E+00,1.43E+04,5.61E+03,1.09E+04,1.62E+03,4.58E+02,8.89E+02
3,0.00E+00,5.71E+03,1.51E+03,2.93E+03,6.39E+02,1.27E+02,2.46E+02
3.1744,0.00E+00,4.99E+03,1.26E+03,2.42E+03,5.59E+02,1.06E+02,2.04E+02
3.1998,7.53E+04,4.90E+03,1.22E+03,2.36E+03,5.49E+02,1.03E+02,1.99E+02
4,4.51E+04,2.86E+03,5.77E+02,1.11E+03,3.20E+02,4.94E+01,9.51E+01
5,2.53E+04,1.64E+03,2.68E+02,5.14E+02,1.83E+02,2.33E+01,4.46E+01
6,1.55E+04,1.03E+03,1.42E+02,2.71E+02,1.15E+02,1.24E+01,2.37E+01
8,7.06E+03,4.83E+02,5.07E+01,9.64E+01,5.41E+01,4.49E+00,8.50E+00
10,3.77E+03,2.64E+02,2.25E+01,4.26E+01,2.96E+01,2.01E+00,3.78E+00
15,1.17E+03,8.49E+01,5.00E+00,9.36E+00,9.53E+00,4.50E-01,8.40E-01
20,4.98E+02,3.70E+01,1.68E+00,3.12E+00,4.17E+00,1.52E-01,2.81E-01
30,1.46E+02,1.11E+01,3.54E-01,6.47E-01,1.26E+00,3.22E-02,5.87E-02
40,6.02E+01,4.66E+00,1.16E-01,2.09E-01,5.27E-01,1.06E-02,1.90E-02
50,3.00E+01,2.35E+00,4.88E-02,8.69E-02,2.66E-01,4.46E-03,7.92E-03
60,1.70E+01,1.34E+00,2.41E-02,4.24E-02,1.51E-01,2.21E-03,3.87E-03
80,6.85E+00,5.44E-01,7.93E-03,1.37E-02,6.16E-02,7.29E-04,1.25E-03
100,3.38E+00,2.70E-01,3.38E-03,5.75E-03,3.06E-02,3.11E-04,5.26E-04
150,9.38E-01,7.55E-02,7.46E-04,1.22E-03,8.56E-03,6.85E-05,1.12E-04
200,3.82E-01,3.08E-02,2.63E-04,4.23E-04,3.50E-03,2.42E-05,3.88E-05
300,1.11E-01,9.03E-03,6.51E-05,1.03E-04,1.02E-03,5.98E-06,9.43E-06
400,4.85E-02,3.94E-03,2.57E-05,4.07E-05,4.47E-04,2.36E-06,3.75E-06
500,2.64E-02,2.15E-03,1.31E-05,2.10E-05,2.44E-04,1.20E-06,1.94E-06
600,1.65E-02,1.35E-03,7.72E-06,1.27E-05,1.53E-04,7.07E-07,1.17E-06
800,8.39E-03,6.83E-04,3.59E-06,6.22E-06,7.75E-05,3.27E-07,5.75E-07
1000,5.22E-03,4.25E-04,2.08E-06,3.79E-06,4.82E-05,1.89E-07,3.51E-07
1500,2.44E-03,1.99E-04,8.63E-07,1.72E-06,2.26E-05,7.82E-08,1.62E-07
