PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,4s1/2
1,0.00E+00,6.66E+04,5.85E+04,1.14E+05,8.71E+03,5.03E+03,9.85E+03,2.13E+02
1.5,0.00E+00,3.04E+04,1.79E+04,3.48E+04,3.82E+03,1.63E+03,3.18E+03,9.29E+01
2,0.00E+00,1.67E+04,7.40E+03,1.44E+04,2.07E+03,6.98E+02,1.36E+03,5.02E+01
3,0.00E+00,6.75E+03,2.03E+03,3.91E+03,8.24E+02,1.98E+02,3.82E+02,2.00E+01
3.5797,0.00E+00,4.47E+03,1.13E+03,2.18E+03,5.43E+02,1.12E+02,2.15E+02,1.32E+01
3.6084,6.93E+04,4.38E+03,1.10E+03,2.12E+03,5.33E+02,1.09E+02,2.10E+02,1.29E+01
4,5.36E+04,3.43E+03,7.82E+02,1.50E+03,4.16E+02,7.78E+01,1.49E+02,1.01E+01
5,3.02E+04,1.98E+03,3.66E+02,7.01E+02,2.40E+02,3.69E+01,7.07E+01,5.83E+00
6,1.87E+04,1.25E+03,1.95E+02,3.71E+02,1.52E+02,1.98E+01,3.79E+01,3.68E+00
8,8.57E+03,5.92E+02,7.04E+01,1.33E+02,7.19E+01,7.27E+00,1.38E+01,1.74E+00
10,4.61E+03,3.26E+02,3.15E+01,5.94E+01,3.96E+01,3.28E+00,6.19E+00,9.61E-01
15,1.44E+03,1.06E+02,7.07E+00,1.32E+01,1.29E+01,7.45E-01,1.39E+00,3.14E-01
20,6.19E+02,4.66E+01,2.40E+00,4.44E+00,5.69E+00,2.54E-01,4.70E-01,1.38E-01
30,1.83E+02,1.42E+01,5.11E-01,9.30E-01,1.73E+00,5.46E-02,9.91E-02,4.21E-02
40,7.57E+01,5.97E+00,1.69E-01,3.03E-01,7.31E-01,1.81E-02,3.24E-02,1.78E-02
50,3.79E+01,3.02E+00,7.13E-02,1.26E-01,3.70E-01,7.65E-03,1.35E-02,9.00E-03
60,2.15E+01,1.72E+00,3.53E-02,6.18E-02,2.11E-01,3.79E-03,6.63E-03,5.14E-03
80,8.70E+00,7.04E-01,1.17E-02,2.01E-02,8.66E-02,1.26E-03,2.16E-03,2.10E-03
100,4.31E+00,3.51E-01,5.01E-03,8.45E-03,4.31E-02,5.41E-04,9.09E-04,1.05E-03
150,1.20E+00,9.85E-02,1.11E-03,1.80E-03,1.21E-02,1.20E-04,1.95E-04,2.95E-04
200,4.89E-01,4.04E-02,3.93E-04,6.25E-04,4.97E-03,4.24E-05,6.76E-05,1.21E-04
300,1.43E-01,1.19E-02,9.76E-05,1.52E-04,1.46E-03,1.05E-05,1.65E-05,3.55E-05
400,6.25E-02,5.19E-03,3.86E-05,6.06E-05,6.40E-04,4.16E-06,6.55E-06,1.56E-05
500,3.41E-02,2.83E-03,1.96E-05,3.13E-05,3.49E-04,2.11E-06,3.39E-06,8.50E-06
600,2.13E-02,1.78E-03,1.16E-05,1.90E-05,2.19E-04,1.25E-06,2.05E-06,5.34E-06
800,1.08E-02,9.02E-04,5.41E-06,9.26E-06,1.11E-04,5.81E-07,1.01E-06,2.72E-06
1000,6.74E-03,5.61E-04,3.13E-06,5.65E-06,6.91E-05,3.37E-07,6.13E-07,1.70E-06
1500,3.16E-03,2.63E-04,1.30E-06,2.59E-06,3.24E-05,1.39E-07,2.81E-07,8.20E-07
