PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,1.03E+05,1.59E+05,3.11E+05,1.75E+04,1.49E+04,2.91E+04,1.52E+03,2.24E+03,4.76E+02
1.5,0.00E+00,5.24E+04,5.29E+04,1.02E+05,7.98E+03,5.32E+03,1.03E+04,3.48E+02,5.10E+02,2.15E+02
2,0.00E+00,3.05E+04,2.31E+04,4.44E+04,4.45E+03,2.44E+03,4.70E+03,1.17E+02,1.71E+02,1.20E+02
3,0.00E+00,1.33E+04,6.78E+03,1.29E+04,1.88E+03,7.61E+02,1.45E+03,2.33E+01,3.38E+01,5.06E+01
4,0.00E+00,7.06E+03,2.73E+03,5.19E+03,9.89E+02,3.18E+02,6.03E+02,7.07E+00,1.02E+01,2.66E+01
5,0.00E+00,4.23E+03,1.33E+03,2.51E+03,5.90E+02,1.57E+02,2.97E+02,2.75E+00,3.96E+00,1.58E+01
5.9517,0.00E+00,2.80E+03,7.46E+02,1.40E+03,3.89E+02,8.98E+01,1.69E+02,1.30E+00,1.88E+00,1.04E+01
5.9993,3.89E+04,2.75E+03,7.26E+02,1.37E+03,3.82E+02,8.75E+01,1.65E+02,1.26E+00,1.81E+00,1.03E+01
6,3.89E+04,2.75E+03,7.26E+02,1.37E+03,3.82E+02,8.75E+01,1.64E+02,1.26E+00,1.81E+00,1.02E+01
8,1.91E+04,1.36E+03,2.75E+02,5.13E+02,1.88E+02,3.38E+01,6.30E+01,3.62E-01,5.19E-01,5.05E+00
10,1.06E+04,7.72E+02,1.27E+02,2.36E+02,1.07E+02,1.58E+01,2.94E+01,1.36E-01,1.94E-01,2.87E+00
15,3.48E+03,2.65E+02,3.02E+01,5.53E+01,3.69E+01,3.84E+00,7.03E+00,2.19E-02,3.09E-02,9.88E-01
20,1.54E+03,1.21E+02,1.06E+01,1.93E+01,1.68E+01,1.37E+00,2.48E+00,5.85E-03,8.21E-03,4.51E-01
30,4.71E+02,3.84E+01,2.39E+00,4.24E+00,5.37E+00,3.11E-01,5.50E-01,9.03E-04,1.25E-03,1.44E-01
40,2.00E+02,1.67E+01,8.15E-01,1.42E+00,2.33E+00,1.07E-01,1.86E-01,2.38E-04,3.27E-04,6.25E-02
50,1.02E+02,8.61E+00,3.53E-01,6.07E-01,1.21E+00,4.63E-02,7.96E-02,8.49E-05,1.15E-04,3.24E-02
60,5.83E+01,4.99E+00,1.78E-01,3.02E-01,6.99E-01,2.34E-02,3.97E-02,3.66E-05,4.93E-05,1.88E-02
80,2.41E+01,2.09E+00,6.03E-02,1.00E-01,2.93E-01,7.98E-03,1.32E-02,9.81E-06,1.30E-05,7.87E-03
100,1.21E+01,1.06E+00,2.63E-02,4.28E-02,1.48E-01,3.48E-03,5.66E-03,3.58E-06,4.70E-06,3.98E-03
150,3.43E+00,3.04E-01,5.95E-03,9.36E-03,4.28E-02,7.93E-04,1.24E-03,6.02E-07,7.77E-07,1.15E-03
200,1.42E+00,1.26E-01,2.14E-03,3.29E-03,1.78E-02,2.86E-04,4.37E-04,1.78E-07,2.30E-07,4.79E-04
300,4.21E-01,3.78E-02,5.45E-04,8.14E-04,5.33E-03,7.25E-05,1.08E-04,3.52E-08,4.64E-08,1.43E-04
400,1.85E-01,1.67E-02,2.18E-04,3.25E-04,2.36E-03,2.91E-05,4.34E-05,1.20E-08,1.66E-08,6.33E-05
500,1.02E-01,9.17E-03,1.12E-04,1.69E-04,1.29E-03,1.49E-05,2.25E-05,5.47E-09,7.95E-09,3.48E-05
600,6.39E-02,5.77E-03,6.65E-05,1.03E-04,8.14E-04,8.86E-06,1.37E-05,2.99E-09,4.62E-09,2.19E-05
800,3.25E-02,2.94E-03,3.11E-05,5.02E-05,4.14E-04,4.14E-06,6.69E-06,1.24E-09,2.11E-09,1.12E-05
1000,2.02E-02,1.83E-03,1.82E-05,3.04E-05,2.58E-04,2.41E-06,4.07E-06,6.65E-10,1.25E-09,6.98E-06
1500,9.44E-03,8.53E-04,7.60E-06,1.38E-05,1.20E-04,1.00E-06,1.85E-06,2.82E-10,6.07E-10,3.31E-06
