PhotonEnergy[keV],1s1/2,2s1/2
1,2.65E+03,3.72E+01
1.5,7.53E+02,1.07E+01
2,3.04E+02,4.32E+00
3,8.24E+01,1.19E+00
4,3.23E+01,4.66E-01
5,1.55E+01,2.25E-01
6,8.48E+00,1.23E-01
8,3.26E+00,4.74E-02
10,1.54E+00,2.25E-02
15,3.95E-01,5.77E-03
20,1.50E-01,2.19E-03
30,3.79E-02,5.53E-04
40,1.42E-02,2.08E-04
50,6.67E-03,9.76E-05
60,3.59E-03,5.25E-05
80,1.35E-03,1.98E-05
100,6.37E-04,9.31E-06
150,1.64E-04,2.40E-06
200,6.39E-05,9.31E-07
300,1.77E-05,2.58E-07
400,7.51E-06,1.09E-07
500,4.02E-06,5.85E-08
600,2.50E-06,3.63E-08
800,1.26E-06,1.84E-08
1000,7.82E-07,1.15E-08
1500,3.71E-07,5.64E-09
