PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.34E+04,3.96E+04,7.73E+04,2.93E+04,4.29E+04,3.13E+03,6.40E+02,1.23E+03
1.2215,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.37E+04,2.62E+04,5.06E+04,1.53E+04,2.23E+04,2.19E+03,4.19E+02,8.01E+02
1.2313,0.00E+00,0.00E+00,0.00E+00,4.30E+05,2.34E+04,2.57E+04,4.98E+04,1.49E+04,2.17E+04,2.16E+03,4.12E+02,7.87E+02
1.2542,0.00E+00,0.00E+00,0.00E+00,4.72E+05,2.27E+04,2.47E+04,4.78E+04,1.40E+04,2.04E+04,2.09E+03,3.96E+02,7.56E+02
1.2643,0.00E+00,0.00E+00,2.08E+05,4.76E+05,2.23E+04,2.43E+04,4.70E+04,1.36E+04,1.99E+04,2.06E+03,3.89E+02,7.42E+02
1.401,0.00E+00,0.00E+00,1.99E+05,3.85E+05,1.86E+04,1.94E+04,3.73E+04,9.66E+03,1.41E+04,1.70E+03,3.09E+02,5.89E+02
1.4122,0.00E+00,8.85E+04,1.95E+05,3.77E+05,1.83E+04,1.90E+04,3.66E+04,9.40E+03,1.37E+04,1.68E+03,3.04E+02,5.79E+02
1.5,0.00E+00,8.51E+04,1.67E+05,3.22E+05,1.65E+04,1.66E+04,3.19E+04,7.65E+03,1.11E+04,1.50E+03,2.65E+02,5.04E+02
2,0.00E+00,5.38E+04,7.92E+04,1.51E+05,9.62E+03,8.36E+03,1.59E+04,2.79E+03,4.05E+03,8.67E+02,1.34E+02,2.52E+02
3,0.00E+00,2.63E+04,2.57E+04,4.85E+04,4.32E+03,2.94E+03,5.53E+03,6.30E+02,9.09E+02,3.85E+02,4.77E+01,8.77E+01
4,0.00E+00,1.50E+04,1.11E+04,2.07E+04,2.38E+03,1.33E+03,2.49E+03,2.10E+02,3.01E+02,2.11E+02,2.17E+01,3.95E+01
5,0.00E+00,9.47E+03,5.65E+03,1.04E+04,1.47E+03,7.04E+02,1.30E+03,8.71E+01,1.25E+02,1.30E+02,1.15E+01,2.07E+01
6,0.00E+00,6.40E+03,3.21E+03,5.90E+03,9.83E+02,4.11E+02,7.54E+02,4.18E+01,5.97E+01,8.70E+01,6.71E+00,1.20E+01
8,0.00E+00,3.35E+03,1.29E+03,2.34E+03,5.10E+02,1.71E+02,3.10E+02,1.28E+01,1.81E+01,4.53E+01,2.79E+00,4.96E+00
10,0.00E+00,1.99E+03,6.21E+02,1.12E+03,3.01E+02,8.43E+01,1.52E+02,4.98E+00,7.03E+00,2.67E+01,1.38E+00,2.44E+00
11.056,0.00E+00,1.56E+03,4.45E+02,7.99E+02,2.36E+02,6.11E+01,1.09E+02,3.24E+00,4.57E+00,2.10E+01,1.00E+00,1.76E+00
11.144,2.03E+04,1.53E+03,4.34E+02,7.78E+02,2.32E+02,5.95E+01,1.07E+02,3.13E+00,4.42E+00,2.06E+01,9.77E-01,1.71E+00
15,9.54E+03,7.35E+02,1.59E+02,2.82E+02,1.11E+02,2.24E+01,3.96E+01,8.68E-01,1.22E+00,9.85E+00,3.69E-01,6.37E-01
20,4.40E+03,3.52E+02,5.92E+01,1.03E+02,5.31E+01,8.48E+00,1.48E+01,2.47E-01,3.40E-01,4.71E+00,1.40E-01,2.38E-01
30,1.43E+03,1.19E+02,1.42E+01,2.42E+01,1.81E+01,2.08E+00,3.53E+00,4.08E-02,5.54E-02,1.60E+00,3.44E-02,5.72E-02
40,6.26E+02,5.39E+01,5.08E+00,8.49E+00,8.18E+00,7.52E-01,1.25E+00,1.13E-02,1.51E-02,7.25E-01,1.24E-02,2.03E-02
50,3.27E+02,2.87E+01,2.27E+00,3.73E+00,4.37E+00,3.39E-01,5.55E-01,4.14E-03,5.48E-03,3.87E-01,5.61E-03,8.99E-03
60,1.91E+02,1.70E+01,1.18E+00,1.90E+00,2.59E+00,1.76E-01,2.83E-01,1.83E-03,2.40E-03,2.30E-01,2.92E-03,4.60E-03
80,8.08E+01,7.36E+00,4.15E-01,6.53E-01,1.12E+00,6.26E-02,9.81E-02,5.10E-04,6.58E-04,9.97E-02,1.04E-03,1.59E-03
100,4.13E+01,3.81E+00,1.86E-01,2.86E-01,5.83E-01,2.82E-02,4.31E-02,1.92E-04,2.44E-04,5.17E-02,4.66E-04,7.00E-04
150,1.21E+01,1.14E+00,4.40E-02,6.48E-02,1.75E-01,6.71E-03,9.82E-03,3.37E-05,4.20E-05,1.55E-02,1.11E-04,1.60E-04
200,5.09E+00,4.86E-01,1.63E-02,2.33E-02,7.46E-02,2.49E-03,3.54E-03,1.02E-05,1.27E-05,6.62E-03,4.12E-05,5.75E-05
