PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.87E+04,6.49E+04,1.29E+05,9.48E+04,1.38E+05,7.99E+03,7.87E+03,1.54E+04,6.95E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.50E+04,3.02E+04,5.84E+04,2.73E+04,3.96E+04,3.91E+03,3.54E+03,6.82E+03,3.36E+02
1.9404,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E+04,1.74E+04,3.33E+04,1.17E+04,1.70E+04,2.43E+03,2.03E+03,3.87E+03,2.08E+02
1.9559,0.00E+00,0.00E+00,0.00E+00,3.00E+05,1.57E+04,1.71E+04,3.28E+04,1.14E+04,1.65E+04,2.40E+03,2.00E+03,3.80E+03,2.05E+02
2,0.00E+00,0.00E+00,0.00E+00,2.80E+05,1.51E+04,1.63E+04,3.11E+04,1.06E+04,1.53E+04,2.30E+03,1.90E+03,3.61E+03,1.96E+02
2.0102,0.00E+00,0.00E+00,0.00E+00,2.77E+05,1.49E+04,1.61E+04,3.08E+04,1.04E+04,1.51E+04,2.28E+03,1.88E+03,3.57E+03,1.95E+02
2.0263,0.00E+00,0.00E+00,1.43E+05,2.73E+05,1.47E+04,1.58E+04,3.02E+04,1.02E+04,1.47E+04,2.24E+03,1.84E+03,3.50E+03,1.92E+02
2.1981,0.00E+00,0.00E+00,1.19E+05,2.27E+05,1.27E+04,1.32E+04,2.50E+04,7.71E+03,1.11E+04,1.92E+03,1.53E+03,2.90E+03,1.66E+02
2.2157,0.00E+00,5.81E+04,1.16E+05,2.22E+05,1.25E+04,1.29E+04,2.46E+04,7.50E+03,1.08E+04,1.90E+03,1.50E+03,2.84E+03,1.64E+02
3,0.00E+00,3.63E+04,5.23E+04,9.81E+04,7.05E+03,6.27E+03,1.18E+04,2.60E+03,3.74E+03,1.05E+03,7.28E+02,1.36E+03,9.10E+01
4,0.00E+00,2.18E+04,2.37E+04,4.37E+04,3.99E+03,3.01E+03,5.57E+03,9.11E+02,1.30E+03,5.91E+02,3.50E+02,6.47E+02,5.10E+01
5,0.00E+00,1.42E+04,1.25E+04,2.27E+04,2.52E+03,1.65E+03,3.03E+03,3.93E+02,5.60E+02,3.72E+02,1.93E+02,3.53E+02,3.21E+01
6,0.00E+00,9.87E+03,7.26E+03,1.31E+04,1.72E+03,9.96E+02,1.81E+03,1.95E+02,2.76E+02,2.52E+02,1.17E+02,2.11E+02,2.17E+01
8,0.00E+00,5.38E+03,3.02E+03,5.39E+03,9.15E+02,4.34E+02,7.77E+02,6.26E+01,8.82E+01,1.34E+02,5.11E+01,9.13E+01,1.16E+01
