PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.65E+04,9.34E+04,1.93E+05,2.44E+05,3.55E+05,1.52E+04,1.66E+04,3.30E+04,1.46E+04,2.11E+04,5.42E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.62E+04,4.88E+04,9.66E+04,7.70E+04,1.11E+05,7.52E+03,7.97E+03,1.54E+04,4.97E+03,7.12E+03,2.64E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E+04,2.83E+04,5.47E+04,3.19E+04,4.59E+04,4.49E+03,4.51E+03,8.58E+03,2.15E+03,3.07E+03,1.56E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E+04,1.19E+04,2.24E+04,8.50E+03,1.21E+04,2.11E+03,1.87E+03,3.48E+03,6.05E+02,8.54E+02,7.40E+01
3.0014,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E+04,1.19E+04,2.24E+04,8.48E+03,1.21E+04,2.10E+03,1.87E+03,3.48E+03,6.04E+02,8.53E+02,7.39E+01
3.0254,0.00E+00,0.00E+00,0.00E+00,1.79E+05,1.08E+04,1.17E+04,2.20E+04,8.26E+03,1.18E+04,2.07E+03,1.84E+03,3.41E+03,5.88E+02,8.31E+02,7.28E+01
3.1485,0.00E+00,0.00E+00,0.00E+00,1.61E+05,9.99E+03,1.07E+04,2.00E+04,7.22E+03,1.03E+04,1.92E+03,1.68E+03,3.11E+03,5.16E+02,7.28E+02,6.74E+01
3.1737,0.00E+00,0.00E+00,8.49E+04,1.58E+05,9.84E+03,1.05E+04,1.97E+04,7.02E+03,1.00E+04,1.89E+03,1.65E+03,3.05E+03,5.03E+02,7.09E+02,6.64E+01
3.388,0.00E+00,0.00E+00,7.20E+04,1.35E+05,8.71E+03,9.04E+03,1.68E+04,5.62E+03,8.00E+03,1.67E+03,1.41E+03,2.61E+03,4.05E+02,5.70E+02,5.85E+01
3.4152,0.00E+00,3.74E+04,7.07E+04,1.32E+05,8.58E+03,8.87E+03,1.65E+04,5.47E+03,7.78E+03,1.64E+03,1.39E+03,2.56E+03,3.94E+02,5.55E+02,5.76E+01
4,0.00E+00,2.98E+04,4.73E+04,8.63E+04,6.35E+03,6.09E+03,1.12E+04,3.16E+03,4.48E+03,1.20E+03,9.53E+02,1.74E+03,2.31E+02,3.24E+02,4.22E+01
5,0.00E+00,1.99E+04,2.57E+04,4.63E+04,4.10E+03,3.50E+03,6.36E+03,1.42E+03,2.01E+03,7.70E+02,5.48E+02,9.87E+02,1.06E+02,1.47E+02,2.69E+01
6,0.00E+00,1.43E+04,1.54E+04,2.74E+04,2.84E+03,2.19E+03,3.92E+03,7.29E+02,1.02E+03,5.29E+02,3.43E+02,6.11E+02,5.51E+01,7.61E+01,1.85E+01
8,0.00E+00,8.14E+03,6.69E+03,1.17E+04,1.56E+03,1.00E+03,1.77E+03,2.46E+02,3.42E+02,2.89E+02,1.58E+02,2.77E+02,1.90E+01,2.60E+01,1.01E+01
10,0.00E+00,5.13E+03,3.43E+03,5.89E+03,9.62E+02,5.35E+02,9.29E+02,1.03E+02,1.43E+02,1.78E+02,8.48E+01,1.46E+02,8.06E+00,1.10E+01,6.21E+00
15,0.00E+00,2.10E+03,9.76E+02,1.63E+03,3.86E+02,1.62E+02,2.73E+02,2.04E+01,2.79E+01,7.10E+01,2.58E+01,4.33E+01,1.62E+00,2.17E+00,2.48E+00
20,0.00E+00,1.08E+03,3.89E+02,6.35E+02,1.96E+02,6.68E+01,1.10E+02,6.26E+00,8.43E+00,3.60E+01,1.07E+01,1.76E+01,5.01E-01,6.63E-01,1.26E+00
