PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.88E+04,9.67E+04,2.02E+05,2.73E+05,3.97E+05,1.62E+04,1.77E+04,3.54E+04,1.97E+04,2.82E+04
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E+04,5.15E+04,1.02E+05,8.71E+04,1.26E+05,8.03E+03,8.59E+03,1.66E+04,6.78E+03,9.66E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.36E+04,3.02E+04,5.85E+04,3.64E+04,5.23E+04,4.80E+03,4.89E+03,9.29E+03,2.97E+03,4.21E+03
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E+04,1.29E+04,2.42E+04,9.79E+03,1.40E+04,2.26E+03,2.05E+03,3.80E+03,8.47E+02,1.19E+03
3.1674,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E+04,1.14E+04,2.14E+04,8.16E+03,1.16E+04,2.04E+03,1.81E+03,3.35E+03,7.10E+02,9.95E+02
3.1927,0.00E+00,0.00E+00,0.00E+00,1.65E+05,1.03E+04,1.12E+04,2.10E+04,7.94E+03,1.13E+04,2.01E+03,1.78E+03,3.29E+03,6.92E+02,9.69E+02
3.3294,0.00E+00,0.00E+00,0.00E+00,1.51E+05,9.50E+03,1.02E+04,1.90E+04,6.89E+03,9.80E+03,1.85E+03,1.62E+03,2.98E+03,6.03E+02,8.37E+02
3.3561,0.00E+00,0.00E+00,7.81E+04,1.48E+05,9.36E+03,1.00E+04,1.86E+04,6.71E+03,9.54E+03,1.82E+03,1.59E+03,2.93E+03,5.87E+02,8.15E+02
3.5767,0.00E+00,0.00E+00,6.79E+04,1.27E+05,8.31E+03,8.63E+03,1.60E+04,5.39E+03,7.66E+03,1.61E+03,1.37E+03,2.51E+03,4.75E+02,6.59E+02
3.6054,0.00E+00,3.58E+04,6.67E+04,1.24E+05,8.19E+03,8.47E+03,1.57E+04,5.25E+03,7.45E+03,1.59E+03,1.35E+03,2.47E+03,4.62E+02,6.41E+02
4,0.00E+00,3.06E+04,5.15E+04,9.42E+04,6.72E+03,6.62E+03,1.22E+04,3.66E+03,5.19E+03,1.29E+03,1.05E+03,1.91E+03,3.26E+02,4.51E+02
5,0.00E+00,2.08E+04,2.80E+04,5.06E+04,4.35E+03,3.83E+03,6.95E+03,1.66E+03,2.34E+03,8.29E+02,6.08E+02,1.09E+03,1.51E+02,2.07E+02
6,0.00E+00,1.50E+04,1.69E+04,3.00E+04,3.02E+03,2.40E+03,4.31E+03,8.55E+02,1.20E+03,5.72E+02,3.82E+02,6.78E+02,7.87E+01,1.08E+02
8,0.00E+00,8.57E+03,7.38E+03,1.29E+04,1.66E+03,1.11E+03,1.96E+03,2.90E+02,4.04E+02,3.13E+02,1.78E+02,3.10E+02,2.73E+01,3.71E+01
10,0.00E+00,5.42E+03,3.80E+03,6.52E+03,1.03E+03,5.96E+02,1.03E+03,1.23E+02,1.69E+02,1.93E+02,9.57E+01,1.64E+02,1.17E+01,1.58E+01
15,0.00E+00,2.24E+03,1.09E+03,1.81E+03,4.15E+02,1.82E+02,3.06E+02,2.45E+01,3.33E+01,7.74E+01,2.94E+01,4.90E+01,2.37E+00,3.15E+00
20,0.00E+00,1.15E+03,4.37E+02,7.10E+02,2.12E+02,7.55E+01,1.24E+02,7.53E+00,1.01E+01,3.94E+01,1.23E+01,2.00E+01,7.39E-01,9.69E-01
24.298,0.00E+00,7.21E+02,2.32E+02,3.71E+02,1.32E+02,4.10E+01,6.62E+01,3.35E+00,4.46E+00,2.46E+01,6.69E+00,1.07E+01,3.30E-01,4.30E-01
24.493,8.53E+03,7.07E+02,2.26E+02,3.61E+02,1.30E+02,4.00E+01,6.45E+01,3.24E+00,4.31E+00,2.42E+01,6.52E+00,1.04E+01,3.20E-01,4.15E-01
30,5.11E+03,4.28E+02,1.16E+02,1.82E+02,7.86E+01,2.09E+01,3.31E+01,1.38E+00,1.82E+00,1.46E+01,3.42E+00,5.35E+00,1.37E-01,1.76E-01
40,2.37E+03,2.06E+02,4.44E+01,6.77E+01,3.78E+01,8.17E+00,1.26E+01,4.08E-01,5.28E-01,7.03E+00,1.34E+00,2.04E+00,4.07E-02,5.14E-02
