PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.65E+04,1.06E+05,2.31E+05,4.05E+05,5.91E+05,2.12E+04,2.40E+04,4.90E+04,4.04E+04,5.85E+04,2.52E+03,5.53E+02,1.06E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.39E+04,6.16E+04,1.26E+05,1.36E+05,1.97E+05,1.07E+04,1.20E+04,2.37E+04,1.47E+04,2.11E+04,1.24E+03,2.70E+02,5.05E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.80E+04,3.77E+04,7.42E+04,5.86E+04,8.41E+04,6.40E+03,7.00E+03,1.35E+04,6.71E+03,9.57E+03,7.34E+02,1.56E+02,2.85E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+04,1.69E+04,3.20E+04,1.64E+04,2.34E+04,3.04E+03,3.05E+03,5.68E+03,2.02E+03,2.85E+03,3.45E+02,6.91E+01,1.20E+02
3.9227,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.58E+03,9.39E+03,1.74E+04,6.75E+03,9.52E+03,1.83E+03,1.68E+03,3.07E+03,8.61E+02,1.21E+03,2.06E+02,3.81E+01,6.50E+01
3.9541,0.00E+00,0.00E+00,0.00E+00,1.24E+05,8.45E+03,9.22E+03,1.70E+04,6.57E+03,9.27E+03,1.80E+03,1.65E+03,3.01E+03,8.38E+02,1.18E+03,2.03E+02,3.74E+01,6.38E+01
4,0.00E+00,0.00E+00,0.00E+00,1.27E+05,8.27E+03,8.98E+03,1.66E+04,6.32E+03,8.91E+03,1.76E+03,1.61E+03,2.93E+03,8.07E+02,1.13E+03,1.98E+02,3.64E+01,6.21E+01
4.1569,0.00E+00,0.00E+00,0.00E+00,1.14E+05,7.70E+03,8.22E+03,1.51E+04,5.54E+03,7.81E+03,1.63E+03,1.47E+03,2.68E+03,7.12E+02,9.96E+02,1.84E+02,3.33E+01,5.66E+01
4.1901,0.00E+00,0.00E+00,5.82E+04,1.11E+05,7.58E+03,8.07E+03,1.48E+04,5.39E+03,7.59E+03,1.61E+03,1.44E+03,2.62E+03,6.93E+02,9.70E+02,1.81E+02,3.27E+01,5.55E+01
4.4362,0.00E+00,0.00E+00,5.27E+04,9.68E+04,6.80E+03,7.06E+03,1.29E+04,4.43E+03,6.23E+03,1.44E+03,1.26E+03,2.29E+03,5.74E+02,8.01E+02,1.62E+02,2.86E+01,4.84E+01
4.4717,0.00E+00,2.87E+04,5.17E+04,9.49E+04,6.70E+03,6.93E+03,1.27E+04,4.31E+03,6.06E+03,1.42E+03,1.24E+03,2.24E+03,5.58E+02,7.80E+02,1.59E+02,2.81E+01,4.75E+01
5,0.00E+00,2.40E+04,3.93E+04,7.05E+04,5.41E+03,5.32E+03,9.63E+03,2.92E+03,4.10E+03,1.14E+03,9.50E+02,1.70E+03,3.83E+02,5.34E+02,1.27E+02,2.15E+01,3.61E+01
6,0.00E+00,1.75E+04,2.39E+04,4.22E+04,3.78E+03,3.40E+03,6.06E+03,1.53E+03,2.13E+03,7.88E+02,6.07E+02,1.07E+03,2.04E+02,2.83E+02,8.82E+01,1.38E+01,2.27E+01
8,0.00E+00,1.02E+04,1.07E+04,1.84E+04,2.11E+03,1.62E+03,2.82E+03,5.35E+02,7.39E+02,4.36E+02,2.90E+02,5.02E+02,7.32E+01,1.00E+02,4.93E+01,6.58E+00,1.06E+01
