PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.45E+05,9.43E+05,2.95E+04,3.42E+04,7.30E+04,8.09E+04,1.18E+05,5.68E+03,5.33E+03,1.10E+04,5.64E+02
1.0559,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.69E+05,8.31E+05,2.71E+04,3.15E+04,6.69E+04,7.21E+04,1.05E+05,5.18E+03,4.89E+03,1.00E+04,5.13E+02
1.0643,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+05,5.59E+05,8.16E+05,2.68E+04,3.12E+04,6.61E+04,7.08E+04,1.03E+05,5.11E+03,4.83E+03,9.87E+03,5.06E+02
1.1313,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.33E+05,4.84E+05,7.05E+05,2.43E+04,2.84E+04,5.98E+04,6.20E+04,9.00E+04,4.61E+03,4.38E+03,8.89E+03,4.55E+02
1.1403,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.85E+04,2.31E+05,4.75E+05,6.91E+05,2.40E+04,2.81E+04,5.90E+04,6.09E+04,8.84E+04,4.55E+03,4.32E+03,8.77E+03,4.49E+02
1.2724,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.99E+04,2.02E+05,3.65E+05,5.31E+05,2.01E+04,2.36E+04,4.90E+04,4.75E+04,6.87E+04,3.77E+03,3.60E+03,7.23E+03,3.69E+02
1.2826,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.21E+04,8.91E+04,1.99E+05,3.58E+05,5.20E+05,1.98E+04,2.33E+04,4.83E+04,4.66E+04,6.74E+04,3.71E+03,3.55E+03,7.13E+03,3.64E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.17E+04,7.30E+04,1.57E+05,2.39E+05,3.44E+05,1.52E+04,1.80E+04,3.67E+04,3.21E+04,4.62E+04,2.82E+03,2.71E+03,5.36E+03,2.75E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.40E+04,4.84E+04,9.87E+04,1.07E+05,1.53E+05,9.28E+03,1.09E+04,2.14E+04,1.54E+04,2.20E+04,1.69E+03,1.61E+03,3.09E+03,1.66E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E+04,2.34E+04,4.52E+04,3.18E+04,4.49E+04,4.47E+03,4.95E+03,9.37E+03,4.98E+03,7.03E+03,8.01E+02,7.24E+02,1.35E+03,7.86E+01
