PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.92E+05,1.01E+06,3.10E+04,3.58E+04,7.73E+04,8.86E+04,1.29E+05,6.31E+03,6.04E+03,1.25E+04,6.80E+02,9.80E+02,6.79E+02
1.1216,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.31E+05,7.74E+05,2.59E+04,3.03E+04,6.43E+04,6.95E+04,1.01E+05,5.20E+03,5.03E+03,1.03E+04,5.33E+02,7.65E+02,5.56E+02
1.1305,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E+05,5.21E+05,7.60E+05,2.55E+04,2.99E+04,6.35E+04,6.83E+04,9.92E+04,5.13E+03,4.97E+03,1.02E+04,5.24E+02,7.51E+02,5.49E+02
1.2038,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.21E+05,4.48E+05,6.52E+05,2.31E+04,2.72E+04,5.72E+04,5.94E+04,8.62E+04,4.61E+03,4.49E+03,9.12E+03,4.56E+02,6.53E+02,4.92E+02
1.2134,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.39E+04,2.19E+05,4.40E+05,6.39E+05,2.28E+04,2.69E+04,5.64E+04,5.84E+04,8.47E+04,4.55E+03,4.43E+03,9.00E+03,4.48E+02,6.41E+02,4.85E+02
1.3494,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.53E+04,1.91E+05,3.40E+05,4.93E+05,1.92E+04,2.27E+04,4.71E+04,4.58E+04,6.62E+04,3.79E+03,3.71E+03,7.45E+03,3.51E+02,5.01E+02,4.01E+02
1.3602,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.83E+04,8.46E+04,1.89E+05,3.34E+05,4.83E+05,1.89E+04,2.24E+04,4.64E+04,4.49E+04,6.49E+04,3.73E+03,3.66E+03,7.34E+03,3.45E+02,4.92E+02,3.96E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E+04,7.48E+04,1.63E+05,2.60E+05,3.74E+05,1.61E+04,1.91E+04,3.91E+04,3.56E+04,5.13E+04,3.15E+03,3.09E+03,6.14E+03,2.73E+02,3.89E+02,3.32E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.49E+04,4.99E+04,1.03E+05,1.17E+05,1.68E+05,9.79E+03,1.16E+04,2.29E+04,1.72E+04,2.46E+04,1.88E+03,1.84E+03,3.56E+03,1.33E+02,1.88E+02,1.96E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E+04,2.45E+04,4.75E+04,3.51E+04,4.95E+04,4.73E+03,5.31E+03,1.01E+04,5.64E+03,7.95E+03,8.95E+02,8.34E+02,1.55E+03,4.39E+01,6.05E+01,9.48E+01
