PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.86E+04,4.26E+04,1.04E+05,1.40E+05,2.05E+05,6.81E+04,8.68E+04,7.52E+03,6.60E+03,1.45E+04,6.16E+02
1.3537,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E+04,2.96E+04,6.70E+04,8.11E+04,1.17E+05,2.56E+04,3.25E+04,4.65E+03,4.30E+03,8.96E+03,3.72E+02
1.3646,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.69E+05,2.50E+04,2.93E+04,6.62E+04,7.98E+04,1.15E+05,2.50E+04,3.16E+04,4.59E+03,4.25E+03,8.84E+03,3.67E+02
1.3938,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.73E+05,2.42E+04,2.85E+04,6.40E+04,7.65E+04,1.10E+05,2.33E+04,2.95E+04,4.44E+03,4.12E+03,8.53E+03,3.54E+02
1.405,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.29E+05,8.83E+05,2.39E+04,2.82E+04,6.33E+04,7.53E+04,1.09E+05,2.26E+04,2.87E+04,4.38E+03,4.07E+03,8.42E+03,3.49E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.23E+05,7.54E+05,2.17E+04,2.58E+04,5.70E+04,6.59E+04,9.47E+04,1.81E+04,2.30E+04,3.93E+03,3.68E+03,7.55E+03,3.12E+02
1.7268,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.64E+05,5.23E+05,1.74E+04,2.10E+04,4.52E+04,4.88E+04,6.97E+04,1.11E+04,1.41E+04,3.11E+03,2.95E+03,5.92E+03,2.45E+02
1.7406,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.75E+05,3.57E+05,5.12E+05,1.72E+04,2.08E+04,4.46E+04,4.79E+04,6.84E+04,1.08E+04,1.37E+04,3.07E+03,2.91E+03,5.84E+03,2.41E+02
1.9089,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E+05,2.82E+05,4.03E+05,1.49E+04,1.80E+04,3.81E+04,3.89E+04,5.54E+04,7.82E+03,9.86E+03,2.63E+03,2.51E+03,4.95E+03,2.05E+02
1.9241,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.31E+04,1.50E+05,2.76E+05,3.94E+05,1.47E+04,1.78E+04,3.76E+04,3.82E+04,5.43E+04,7.60E+03,9.59E+03,2.59E+03,2.47E+03,4.88E+03,2.02E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.90E+04,1.42E+05,2.49E+05,3.56E+05,1.38E+04,1.68E+04,3.51E+04,3.50E+04,4.96E+04,6.62E+03,8.34E+03,2.43E+03,2.32E+03,4.55E+03,1.89E+02
2.1012,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.65E+04,1.31E+05,2.21E+05,3.15E+05,1.27E+04,1.55E+04,3.21E+04,3.11E+04,4.41E+04,5.54E+03,6.97E+03,2.23E+03,2.13E+03,4.16E+03,1.73E+02
2.118,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.82E+04,5.60E+04,1.29E+05,2.16E+05,3.08E+05,1.26E+04,1.53E+04,3.17E+04,3.05E+04,4.32E+04,5.38E+03,6.77E+03,2.20E+03,2.11E+03,4.10E+03,1.71E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.36E+04,3.44E+04,7.21E+04,8.27E+04,1.16E+05,6.96E+03,8.41E+03,1.64E+04,1.27E+04,1.78E+04,1.47E+03,1.84E+03,1.19E+03,1.13E+03,2.10E+03,9.36E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.52E+04,2.12E+04,4.14E+04,3.50E+04,4.85E+04,4.17E+03,4.88E+03,9.15E+03,5.79E+03,7.97E+03,4.76E+02,5.93E+02,7.03E+02,6.50E+02,1.16E+03,5.53E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E+04,1.38E+04,2.60E+04,1.75E+04,2.39E+04,2.76E+03,3.11E+03,5.65E+03,3.03E+03,4.13E+03,1.92E+02,2.36E+02,4.63E+02,4.13E+02,7.16E+02,3.64E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.58E+03,9.54E+03,1.73E+04,9.70E+03,1.32E+04,1.96E+03,2.12E+03,3.75E+03,1.74E+03,2.36E+03,8.99E+01,1.10E+02,3.27E+02,2.80E+02,4.75E+02,2.57E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.46E+03,5.09E+03,8.82E+03,3.71E+03,4.98E+03,1.12E+03,1.12E+03,1.91E+03,7.02E+02,9.36E+02,2.63E+01,3.20E+01,1.86E+02,1.48E+02,2.41E+02,1.47E+01
8.0534,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.41E+03,5.02E+03,8.68E+03,3.63E+03,4.87E+03,1.11E+03,1.10E+03,1.88E+03,6.87E+02,9.16E+02,2.55E+01,3.11E+01,1.84E+02,1.45E+02,2.37E+02,1.45E+01
8.1179,0.00E+00,0.00E+00,0.00E+00,5.51E+04,4.34E+03,4.93E+03,8.52E+03,3.53E+03,4.73E+03,1.09E+03,1.08E+03,1.84E+03,6.69E+02,8.92E+02,2.47E+01,3.00E+01,1.81E+02,1.43E+02,2.33E+02,1.42E+01
8.9201,0.00E+00,0.00E+00,0.00E+00,4.32E+04,3.63E+03,3.96E+03,6.76E+03,2.55E+03,3.41E+03,9.07E+02,8.72E+02,1.46E+03,4.91E+02,6.51E+02,1.63E+01,1.98E+01,1.50E+02,1.15E+02,1.85E+02,1.18E+01
8.9915,0.00E+00,0.00E+00,2.50E+04,4.23E+04,3.57E+03,3.89E+03,6.63E+03,2.48E+03,3.31E+03,8.93E+02,8.56E+02,1.43E+03,4.78E+02,6.34E+02,1.58E+01,1.91E+01,1.47E+02,1.13E+02,1.81E+02,1.16E+01
9.3528,0.00E+00,0.00E+00,2.30E+04,3.82E+04,3.31E+03,3.55E+03,6.01E+03,2.17E+03,2.89E+03,8.25E+02,7.80E+02,1.30E+03,4.20E+02,5.55E+02,1.32E+01,1.61E+01,1.36E+02,1.03E+02,1.64E+02,1.07E+01
9.4277,0.00E+00,1.28E+04,2.25E+04,3.74E+04,3.26E+03,3.48E+03,5.89E+03,2.11E+03,2.81E+03,8.12E+02,7.66E+02,1.27E+03,4.09E+02,5.40E+02,1.28E+01,1.55E+01,1.34E+02,1.01E+02,1.61E+02,1.06E+01
10,0.00E+00,1.15E+04,1.93E+04,3.20E+04,2.90E+03,3.03E+03,5.07E+03,1.72E+03,2.28E+03,7.22E+02,6.66E+02,1.10E+03,3.35E+02,4.42E+02,9.84E+00,1.19E+01,1.19E+02,8.76E+01,1.39E+02,9.37E+00
15,0.00E+00,5.57E+03,6.50E+03,9.96E+03,1.28E+03,1.11E+03,1.74E+03,4.00E+02,5.20E+02,3.13E+02,2.44E+02,3.80E+02,8.21E+01,1.06E+02,1.57E+00,1.88E+00,5.14E+01,3.21E+01,4.81E+01,4.05E+00
20,0.00E+00,3.15E+03,2.88E+03,4.22E+03,6.99E+02,5.18E+02,7.82E+02,1.37E+02,1.75E+02,1.69E+02,1.15E+02,1.72E+02,2.90E+01,3.66E+01,4.13E-01,4.90E-01,2.77E+01,1.53E+01,2.18E+01,2.18E+00
30,0.00E+00,1.32E+03,8.72E+02,1.20E+03,2.85E+02,1.68E+02,2.39E+02,2.90E+01,3.60E+01,6.85E+01,3.76E+01,5.29E+01,6.32E+00,7.76E+00,6.05E-02,7.06E-02,1.13E+01,5.02E+00,6.72E+00,8.83E-01
40,0.00E+00,6.90E+02,3.65E+02,4.78E+02,1.47E+02,7.32E+01,9.91E+01,9.41E+00,1.14E+01,3.52E+01,1.65E+01,2.21E+01,2.08E+00,2.50E+00,1.51E-02,1.74E-02,5.79E+00,2.20E+00,2.81E+00,4.53E-01
50,0.00E+00,4.08E+02,1.83E+02,2.32E+02,8.63E+01,3.78E+01,4.93E+01,3.88E+00,4.61E+00,2.07E+01,8.56E+00,1.11E+01,8.68E-01,1.02E+00,5.13E-03,5.85E-03,3.40E+00,1.14E+00,1.41E+00,2.66E-01
55.655,0.00E+00,3.15E+02,1.31E+02,1.63E+02,6.66E+01,2.74E+01,3.51E+01,2.54E+00,2.98E+00,1.59E+01,6.22E+00,7.88E+00,5.69E-01,6.64E-01,3.05E-03,3.46E-03,2.62E+00,8.31E-01,1.00E+00,2.05E-01
56.101,3.36E+03,3.09E+02,1.28E+02,1.59E+02,6.53E+01,2.68E+01,3.42E+01,2.46E+00,2.88E+00,1.56E+01,6.07E+00,7.69E+00,5.51E-01,6.43E-01,2.94E-03,3.33E-03,2.57E+00,8.11E-01,9.78E-01,2.01E-01
60,2.83E+03,2.62E+02,1.04E+02,1.27E+02,5.54E+01,2.18E+01,2.76E+01,1.88E+00,2.19E+00,1.33E+01,4.96E+00,6.21E+00,4.23E-01,4.90E-01,2.12E-03,2.40E-03,2.18E+00,6.63E-01,7.90E-01,1.71E-01
80,1.34E+03,1.28E+02,4.21E+01,4.89E+01,2.70E+01,9.09E+00,1.09E+01,5.96E-01,6.77E-01,6.47E+00,2.08E+00,2.46E+00,1.35E-01,1.52E-01,5.31E-04,5.91E-04,1.06E+00,2.78E-01,3.14E-01,8.32E-02
100,7.37E+02,7.25E+01,2.08E+01,2.32E+01,1.53E+01,4.58E+00,5.25E+00,2.45E-01,2.73E-01,3.66E+00,1.05E+00,1.19E+00,5.61E-02,6.16E-02,1.83E-04,2.01E-04,6.01E-01,1.40E-01,1.52E-01,4.71E-02
150,2.43E+02,2.51E+01,5.83E+00,6.00E+00,5.32E+00,1.31E+00,1.39E+00,5.00E-02,5.36E-02,1.27E+00,3.02E-01,3.16E-01,1.15E-02,1.22E-02,2.75E-05,2.96E-05,2.09E-01,4.05E-02,4.04E-02,1.64E-02
200,1.10E+02,1.17E+01,2.40E+00,2.33E+00,2.49E+00,5.47E-01,5.47E-01,1.66E-02,1.75E-02,5.97E-01,1.26E-01,1.25E-01,3.86E-03,4.01E-03,7.55E-06,8.04E-06,9.81E-02,1.69E-02,1.60E-02,7.68E-03
300,3.68E+01,4.05E+00,7.11E-01,6.45E-01,8.62E-01,1.64E-01,1.53E-01,3.75E-03,3.93E-03,2.07E-01,3.81E-02,3.50E-02,8.74E-04,9.03E-04,1.33E-06,1.43E-06,3.40E-02,5.10E-03,4.48E-03,2.66E-03
400,1.74E+01,1.94E+00,3.13E-01,2.72E-01,4.14E-01,7.27E-02,6.50E-02,1.38E-03,1.47E-03,9.94E-02,1.69E-02,1.49E-02,3.22E-04,3.38E-04,4.17E-07,4.63E-07,1.63E-02,2.26E-03,1.91E-03,1.28E-03
