PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2
1,7.32E+04,3.38E+03,1.24E+02,2.46E+02
1.5,2.39E+04,1.15E+03,2.84E+01,5.64E+01
2,1.05E+04,5.22E+02,9.73E+00,1.93E+01
3,3.20E+03,1.64E+02,2.02E+00,4.00E+00
4,1.35E+03,7.00E+01,6.47E-01,1.28E+00
5,6.81E+02,3.58E+01,2.66E-01,5.24E-01
6,3.88E+02,2.06E+01,1.28E-01,2.52E-01
8,1.58E+02,8.46E+00,4.02E-02,7.87E-02
10,7.82E+01,4.21E+00,1.62E-02,3.17E-02
15,2.13E+01,1.16E+00,3.06E-03,5.93E-03
20,8.39E+00,4.59E-01,9.27E-04,1.79E-03
30,2.22E+00,1.22E-01,1.72E-04,3.27E-04
40,8.61E-01,4.75E-02,5.20E-05,9.82E-05
50,4.11E-01,2.27E-02,2.07E-05,3.87E-05
60,2.25E-01,1.24E-02,9.78E-06,1.82E-05
80,8.63E-02,4.78E-03,3.04E-06,5.55E-06
100,4.12E-02,2.29E-03,1.24E-06,2.25E-06
150,1.08E-02,6.02E-04,2.55E-07,4.50E-07
200,4.28E-03,2.37E-04,8.63E-08,1.51E-07
300,1.20E-03,6.68E-05,2.03E-08,3.54E-08
400,5.14E-04,2.86E-05,7.78E-09,1.39E-08
500,2.77E-04,1.54E-05,3.88E-09,7.10E-09
600,1.72E-04,9.57E-06,2.25E-09,4.32E-09
800,8.69E-05,4.83E-06,1.02E-09,2.12E-09
1000,5.40E-05,3.00E-06,5.85E-10,1.31E-09
1500,2.55E-05,1.42E-06,2.44E-10,6.29E-10
