PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.07E+04,3.87E+04,1.35E+05,1.93E+05,2.93E+05,3.50E+05,4.48E+05,1.24E+04,1.07E+04,2.90E+04,2.19E+04,3.14E+04,1.32E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.62E+04,2.89E+04,8.13E+04,1.12E+05,1.63E+05,1.10E+05,1.40E+05,6.73E+03,6.53E+03,1.57E+04,1.17E+04,1.63E+04,6.86E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E+04,2.12E+04,5.29E+04,6.69E+04,9.56E+04,4.46E+04,5.64E+04,4.28E+03,4.39E+03,9.84E+03,6.82E+03,9.36E+03,4.25E+02
2.2981,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.46E+04,1.78E+04,4.23E+04,5.06E+04,7.16E+04,2.82E+04,3.55E+04,3.42E+03,3.58E+03,7.75E+03,5.13E+03,6.99E+03,3.36E+02
2.3165,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.53E+04,1.44E+04,1.76E+04,4.18E+04,4.98E+04,7.04E+04,2.74E+04,3.45E+04,3.37E+03,3.54E+03,7.65E+03,5.05E+03,6.87E+03,3.31E+02
2.3924,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E+05,1.37E+04,1.68E+04,3.96E+04,4.65E+04,6.56E+04,2.46E+04,3.09E+04,3.20E+03,3.37E+03,7.23E+03,4.71E+03,6.40E+03,3.13E+02
2.4115,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.69E+04,4.54E+05,1.36E+04,1.66E+04,3.91E+04,4.58E+04,6.45E+04,2.39E+04,3.01E+04,3.16E+03,3.33E+03,7.13E+03,4.63E+03,6.29E+03,3.09E+02
2.8339,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.16E+05,3.02E+05,1.06E+04,1.32E+04,2.96E+04,3.21E+04,4.48E+04,1.37E+04,1.72E+04,2.42E+03,2.59E+03,5.34E+03,3.25E+03,4.37E+03,2.34E+02
2.8566,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E+05,2.11E+05,2.95E+05,1.05E+04,1.31E+04,2.92E+04,3.15E+04,4.40E+04,1.33E+04,1.67E+04,2.38E+03,2.56E+03,5.26E+03,3.19E+03,4.29E+03,2.31E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E+05,1.85E+05,2.58E+05,9.69E+03,1.22E+04,2.67E+04,2.82E+04,3.92E+04,1.12E+04,1.40E+04,2.20E+03,2.36E+03,4.81E+03,2.85E+03,3.82E+03,2.12E+02
