PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.04E+04,3.53E+04,1.43E+05,2.01E+05,3.10E+05,4.44E+05,5.70E+05,1.38E+04,1.19E+04,3.49E+04,3.05E+04,4.47E+04,2.17E+03,6.30E+02,1.43E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.65E+04,2.84E+04,8.73E+04,1.23E+05,1.81E+05,1.45E+05,1.85E+05,7.59E+03,7.37E+03,1.90E+04,1.66E+04,2.36E+04,1.14E+03,3.69E+02,7.61E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E+04,2.15E+04,5.75E+04,7.54E+04,1.08E+05,6.00E+04,7.58E+04,4.85E+03,5.03E+03,1.19E+04,9.89E+03,1.38E+04,7.11E+02,2.45E+02,4.72E+02
2.583,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E+04,1.57E+04,3.81E+04,4.53E+04,6.38E+04,2.59E+04,3.25E+04,3.22E+03,3.48E+03,7.68E+03,5.89E+03,8.09E+03,4.63E+02,1.65E+02,3.02E+02
2.6037,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.72E+05,1.27E+04,1.56E+04,3.76E+04,4.46E+04,6.27E+04,2.52E+04,3.16E+04,3.18E+03,3.43E+03,7.58E+03,5.79E+03,7.95E+03,4.57E+02,1.63E+02,2.98E+02
2.6952,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.98E+05,1.20E+04,1.49E+04,3.55E+04,4.14E+04,5.81E+04,2.24E+04,2.81E+04,3.00E+03,3.26E+03,7.13E+03,5.38E+03,7.37E+03,4.31E+02,1.55E+02,2.80E+02
2.7167,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.50E+05,3.90E+05,1.19E+04,1.47E+04,3.50E+04,4.07E+04,5.71E+04,2.18E+04,2.74E+04,2.96E+03,3.22E+03,7.03E+03,5.28E+03,7.24E+03,4.25E+02,1.53E+02,2.81E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.17E+05,3.04E+05,1.02E+04,1.28E+04,2.95E+04,3.27E+04,4.56E+04,1.55E+04,1.94E+04,2.51E+03,2.76E+03,5.87E+03,4.25E+03,5.78E+03,3.59E+02,1.30E+02,2.35E+02
3.1636,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+05,2.63E+05,9.42E+03,1.19E+04,2.68E+04,2.90E+04,4.03E+04,1.29E+04,1.61E+04,2.30E+03,2.54E+03,5.33E+03,3.77E+03,5.11E+03,3.28E+02,1.19E+02,2.13E+02
3.1889,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.48E+04,1.85E+05,2.57E+05,9.30E+03,1.17E+04,2.65E+04,2.85E+04,3.95E+04,1.25E+04,1.56E+04,2.27E+03,2.51E+03,5.25E+03,3.70E+03,5.01E+03,3.23E+02,1.18E+02,2.10E+02
3.6898,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.84E+04,1.24E+05,1.71E+05,7.39E+03,9.40E+03,2.03E+04,2.02E+04,2.78E+04,7.44E+03,9.26E+03,1.77E+03,1.98E+03,3.99E+03,2.63E+03,3.53E+03,2.51E+02,9.18E+01,1.59E+02
3.7193,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E+04,7.74E+04,1.22E+05,1.67E+05,7.29E+03,9.29E+03,2.00E+04,1.98E+04,2.72E+04,7.23E+03,8.99E+03,1.75E+03,1.95E+03,3.93E+03,2.58E+03,3.46E+03,2.47E+02,9.05E+01,1.57E+02
3.973,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.78E+04,6.89E+04,1.01E+05,1.39E+05,6.55E+03,8.36E+03,1.77E+04,1.69E+04,2.31E+04,5.68E+03,7.06E+03,1.56E+03,1.74E+03,3.46E+03,2.20E+03,2.94E+03,2.20E+02,8.37E+01,1.38E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E+04,2.76E+04,6.80E+04,9.94E+04,1.37E+05,6.48E+03,8.27E+03,1.74E+04,1.66E+04,2.27E+04,5.55E+03,6.89E+03,1.54E+03,1.72E+03,3.42E+03,2.16E+03,2.89E+03,2.17E+02,8.28E+01,1.36E+02
4.0048,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.87E+04,2.76E+04,6.79E+04,9.91E+04,1.36E+05,6.46E+03,8.26E+03,1.74E+04,1.66E+04,2.26E+04,5.52E+03,6.86E+03,1.54E+03,1.72E+03,3.41E+03,2.15E+03,2.88E+03,2.17E+02,8.26E+01,1.36E+02
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E+04,2.05E+04,4.53E+04,5.28E+04,7.14E+04,4.46E+03,5.69E+03,1.13E+04,9.39E+03,1.26E+04,2.41E+03,2.98E+03,1.04E+03,1.17E+03,2.19E+03,1.23E+03,1.62E+03,1.46E+02,5.59E+01,8.74E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E+04,1.56E+04,3.18E+04,3.08E+04,4.11E+04,3.25E+03,4.10E+03,7.77E+03,5.74E+03,7.63E+03,1.19E+03,1.47E+03,7.51E+02,8.32E+02,1.50E+03,7.54E+02,9.82E+02,1.04E+02,3.99E+01,5.99E+01
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.62E+03,9.39E+03,1.74E+04,1.27E+04,1.66E+04,1.94E+03,2.37E+03,4.18E+03,2.53E+03,3.30E+03,3.80E+02,4.63E+02,4.42E+02,4.75E+02,8.06E+02,3.35E+02,4.28E+02,6.07E+01,2.27E+01,3.20E+01
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.51E+03,6.08E+03,1.06E+04,6.18E+03,7.96E+03,1.28E+03,1.50E+03,2.52E+03,1.29E+03,1.66E+03,1.52E+02,1.84E+02,2.89E+02,3.00E+02,4.85E+02,1.72E+02,2.17E+02,4.04E+01,1.44E+01,1.93E+01
13.411,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.65E+03,3.27E+03,5.26E+03,2.32E+03,2.93E+03,7.26E+02,7.97E+02,1.25E+03,5.14E+02,6.45E+02,4.40E+01,5.26E+01,1.63E+02,1.59E+02,2.41E+02,6.91E+01,8.50E+01,2.28E+01,7.59E+00,9.56E+00
13.519,0.00E+00,0.00E+00,0.00E+00,3.10E+04,2.61E+03,3.21E+03,5.16E+03,2.26E+03,2.85E+03,7.15E+02,7.83E+02,1.23E+03,5.01E+02,6.28E+02,4.25E+01,5.08E+01,1.60E+02,1.56E+02,2.36E+02,6.73E+01,8.28E+01,2.24E+01,7.46E+00,9.38E+00
15,0.00E+00,0.00E+00,0.00E+00,2.32E+04,2.14E+03,2.55E+03,3.98E+03,1.58E+03,1.98E+03,5.82E+02,6.19E+02,9.48E+02,3.57E+02,4.44E+02,2.71E+01,3.23E+01,1.30E+02,1.23E+02,1.82E+02,4.81E+01,5.87E+01,1.82E+01,5.90E+00,7.25E+00
15.753,0.00E+00,0.00E+00,0.00E+00,2.03E+04,1.95E+03,2.28E+03,3.52E+03,1.34E+03,1.67E+03,5.28E+02,5.54E+02,8.39E+02,3.04E+02,3.77E+02,2.19E+01,2.60E+01,1.18E+02,1.10E+02,1.61E+02,4.10E+01,4.95E+01,1.65E+01,5.27E+00,6.42E+00
15.879,0.00E+00,0.00E+00,1.34E+04,1.99E+04,1.92E+03,2.24E+03,3.45E+03,1.30E+03,1.62E+03,5.20E+02,5.44E+02,8.22E+02,2.96E+02,3.67E+02,2.11E+01,2.51E+01,1.16E+02,1.08E+02,1.58E+02,4.00E+01,4.82E+01,1.62E+01,5.18E+00,6.29E+00
16.37,0.00E+00,0.00E+00,1.26E+04,1.84E+04,1.81E+03,2.09E+03,3.19E+03,1.17E+03,1.46E+03,4.89E+02,5.07E+02,7.61E+02,2.67E+02,3.31E+02,1.85E+01,2.20E+01,1.09E+02,1.01E+02,1.46E+02,3.61E+01,4.35E+01,1.53E+01,4.82E+00,5.82E+00
16.502,0.00E+00,6.70E+03,1.23E+04,1.80E+04,1.78E+03,2.05E+03,3.13E+03,1.14E+03,1.41E+03,4.81E+02,4.98E+02,7.46E+02,2.61E+02,3.22E+02,1.79E+01,2.12E+01,1.08E+02,9.89E+01,1.44E+02,3.52E+01,4.23E+01,1.50E+01,4.74E+00,5.71E+00
20,0.00E+00,4.80E+03,7.54E+03,1.05E+04,1.22E+03,1.30E+03,1.90E+03,5.80E+02,7.09E+02,3.26E+02,3.17E+02,4.54E+02,1.36E+02,1.66E+02,7.64E+00,8.99E+00,7.26E+01,6.28E+01,8.75E+01,1.85E+01,2.19E+01,1.01E+01,3.01E+00,3.48E+00
30,0.00E+00,2.21E+03,2.53E+03,3.17E+03,5.28E+02,4.76E+02,6.29E+02,1.34E+02,1.58E+02,1.39E+02,1.16E+02,1.52E+02,3.30E+01,3.86E+01,1.23E+00,1.42E+00,3.08E+01,2.30E+01,2.93E+01,4.52E+00,5.15E+00,4.30E+00,1.11E+00,1.17E+00
40,0.00E+00,1.23E+03,1.13E+03,1.32E+03,2.83E+02,2.24E+02,2.76E+02,4.61E+01,5.28E+01,7.39E+01,5.49E+01,6.73E+01,1.17E+01,1.33E+01,3.28E-01,3.73E-01,1.64E+01,1.09E+01,1.30E+01,1.60E+00,1.78E+00,2.29E+00,5.24E-01,5.17E-01
50,0.00E+00,7.56E+02,5.98E+02,6.61E+02,1.72E+02,1.23E+02,1.43E+02,1.99E+01,2.23E+01,4.48E+01,3.02E+01,3.51E+01,5.12E+00,5.69E+00,1.17E-01,1.31E-01,9.91E+00,6.01E+00,6.78E+00,7.06E-01,7.64E-01,1.38E+00,2.88E-01,2.70E-01
60,0.00E+00,5.03E+02,3.52E+02,3.72E+02,1.13E+02,7.42E+01,8.28E+01,9.97E+00,1.09E+01,2.94E+01,1.83E+01,2.04E+01,2.60E+00,2.83E+00,5.02E-02,5.57E-02,6.51E+00,3.67E+00,3.94E+00,3.59E-01,3.80E-01,9.09E-01,1.75E-01,1.57E-01
80,0.00E+00,2.58E+02,1.51E+02,1.49E+02,5.77E+01,3.30E+01,3.43E+01,3.33E+00,3.54E+00,1.49E+01,8.22E+00,8.49E+00,8.81E-01,9.29E-01,1.33E-02,1.43E-02,3.32E+00,1.65E+00,1.65E+00,1.22E-01,1.25E-01,4.61E-01,7.87E-02,6.55E-02
90.809,0.00E+00,1.91E+02,1.04E+02,9.91E+01,4.26E+01,2.30E+01,2.32E+01,2.06E+00,2.15E+00,1.10E+01,5.75E+00,5.75E+00,5.46E-01,5.68E-01,7.37E-03,7.88E-03,2.45E+00,1.15E+00,1.11E+00,7.59E-02,7.67E-02,3.40E-01,5.50E-02,4.44E-02
91.536,1.86E+03,1.87E+02,1.02E+02,9.66E+01,4.18E+01,2.25E+01,2.26E+01,1.99E+00,2.08E+00,1.08E+01,5.62E+00,5.61E+00,5.30E-01,5.51E-01,7.10E-03,7.59E-03,2.40E+00,1.13E+00,1.09E+00,7.36E-02,7.44E-02,3.34E-01,5.38E-02,4.33E-02
100,1.49E+03,1.51E+02,7.82E+01,7.27E+01,3.37E+01,1.75E+01,1.71E+01,1.42E+00,1.47E+00,8.73E+00,4.37E+00,4.26E+00,3.80E-01,3.91E-01,4.73E-03,5.03E-03,1.94E+00,8.77E-01,8.27E-01,5.28E-02,5.28E-02,2.69E-01,4.18E-02,3.29E-02
