PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.08E+05,3.45E+05,8.23E+05,1.07E+06,1.75E+04,1.37E+04,5.60E+04,5.67E+04,8.69E+04,1.76E+04,2.23E+04,4.36E+03,2.99E+03,9.77E+03,4.35E+02,6.09E+02,5.28E+02
1.0697,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.04E+05,3.32E+05,7.09E+05,9.14E+05,1.60E+04,1.29E+04,5.10E+04,5.24E+04,7.98E+04,1.53E+04,1.93E+04,3.94E+03,2.76E+03,8.84E+03,3.99E+02,5.56E+02,4.72E+02
1.0783,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.52E+05,2.03E+05,3.31E+05,6.96E+05,8.98E+05,1.59E+04,1.28E+04,5.04E+04,5.19E+04,7.90E+04,1.50E+04,1.90E+04,3.90E+03,2.73E+03,8.73E+03,3.95E+02,5.50E+02,4.66E+02
1.3189,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E+05,1.76E+05,2.75E+05,4.28E+05,5.47E+05,1.21E+04,1.05E+04,3.77E+04,4.00E+04,5.95E+04,9.53E+03,1.20E+04,2.87E+03,2.15E+03,6.42E+03,2.98E+02,4.09E+02,3.34E+02
1.3295,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.38E+04,1.22E+05,1.75E+05,2.72E+05,4.19E+05,5.36E+05,1.19E+04,1.04E+04,3.72E+04,3.95E+04,5.88E+04,9.35E+03,1.17E+04,2.83E+03,2.13E+03,6.34E+03,2.95E+02,4.04E+02,3.29E+02
1.4801,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.20E+04,1.07E+05,1.57E+05,2.39E+05,3.16E+05,4.03E+05,1.03E+04,9.30E+03,3.17E+04,3.38E+04,4.97E+04,7.20E+03,9.00E+03,2.40E+03,1.87E+03,5.35E+03,2.50E+02,3.40E+02,2.75E+02
1.492,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.68E+04,2.20E+04,1.06E+05,1.55E+05,2.37E+05,3.09E+05,3.94E+05,1.01E+04,9.22E+03,3.13E+04,3.34E+04,4.91E+04,7.05E+03,8.82E+03,2.37E+03,1.85E+03,5.28E+03,2.47E+02,3.36E+02,2.71E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.60E+04,2.20E+04,1.06E+05,1.54E+05,2.35E+05,3.05E+05,3.88E+05,1.01E+04,9.17E+03,3.10E+04,3.32E+04,4.87E+04,6.96E+03,8.70E+03,2.35E+03,1.84E+03,5.24E+03,2.45E+02,3.33E+02,2.69E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.87E+04,1.93E+04,7.28E+04,1.03E+05,1.51E+05,1.35E+05,1.70E+05,6.59E+03,6.59E+03,1.97E+04,2.07E+04,2.96E+04,3.26E+03,4.03E+03,1.49E+03,1.27E+03,3.28E+03,1.55E+02,2.00E+02,1.64E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E+04,1.35E+04,3.90E+04,4.96E+04,6.97E+04,3.79E+04,4.72E+04,3.51E+03,3.89E+03,9.93E+03,9.58E+03,1.33E+04,9.88E+02,1.21E+03,7.66E+02,7.18E+02,1.63E+03,7.11E+01,8.91E+01,8.07E+01
3.6637,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.53E+03,1.06E+04,2.78E+04,3.26E+04,4.50E+04,1.94E+04,2.41E+04,2.54E+03,2.92E+03,6.94E+03,6.26E+03,8.53E+03,5.22E+02,6.34E+02,5.49E+02,5.32E+02,1.13E+03,4.65E+01,5.73E+01,5.78E+01
3.6931,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E+05,8.43E+03,1.05E+04,2.74E+04,3.20E+04,4.42E+04,1.89E+04,2.34E+04,2.51E+03,2.89E+03,6.84E+03,6.16E+03,8.38E+03,5.09E+02,6.18E+02,5.41E+02,5.26E+02,1.12E+03,4.57E+01,5.63E+01,5.71E+01
3.855,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.42E+05,7.91E+03,9.98E+03,2.54E+04,2.91E+04,4.00E+04,1.63E+04,2.02E+04,2.34E+03,2.71E+03,6.32E+03,5.60E+03,7.59E+03,4.42E+02,5.36E+02,5.03E+02,4.92E+02,1.03E+03,4.15E+01,5.10E+01,5.31E+01
3.8858,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.72E+05,2.37E+05,7.81E+03,9.88E+03,2.51E+04,2.86E+04,3.93E+04,1.59E+04,1.96E+04,2.31E+03,2.68E+03,6.23E+03,5.50E+03,7.45E+03,4.30E+02,5.22E+02,4.97E+02,4.86E+02,1.01E+03,4.08E+01,5.01E+01,5.24E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+05,2.21E+05,7.48E+03,9.51E+03,2.38E+04,2.68E+04,3.67E+04,1.43E+04,1.77E+04,2.20E+03,2.56E+03,5.90E+03,5.15E+03,6.97E+03,3.91E+02,4.65E+02,4.73E+02,4.64E+02,9.61E+02,3.82E+01,4.68E+01,4.99E+01
4.4168,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E+05,1.71E+05,6.44E+03,8.29E+03,1.99E+04,2.13E+04,2.90E+04,1.01E+04,1.25E+04,1.87E+03,2.20E+03,4.90E+03,4.10E+03,5.50E+03,2.80E+02,3.32E+02,3.99E+02,3.96E+02,7.96E+02,3.04E+01,3.70E+01,4.22E+01
4.4522,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.91E+04,1.23E+05,1.68E+05,6.37E+03,8.20E+03,1.96E+04,2.10E+04,2.84E+04,9.85E+03,1.21E+04,1.84E+03,2.17E+03,4.83E+03,4.03E+03,5.40E+03,2.72E+02,3.23E+02,3.94E+02,3.91E+02,7.84E+02,2.99E+01,3.63E+01,4.16E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.74E+04,9.00E+04,1.20E+05,5.31E+03,6.93E+03,1.58E+04,1.59E+04,2.13E+04,6.50E+03,7.98E+03,1.52E+03,1.81E+03,3.86E+03,3.06E+03,4.06E+03,1.81E+02,2.16E+02,3.22E+02,3.24E+02,6.27E+02,2.27E+01,2.73E+01,3.41E+01
5.3616,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.13E+04,7.37E+04,9.80E+04,4.75E+03,6.23E+03,1.38E+04,1.34E+04,1.78E+04,5.04E+03,6.17E+03,1.35E+03,1.61E+03,3.37E+03,2.58E+03,3.41E+03,1.42E+02,1.68E+02,2.85E+02,2.88E+02,5.46E+02,1.91E+01,2.29E+01,3.02E+01
