PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2
1,0.00E+00,3.73E+04,1.88E+04,3.69E+04,3.60E+03,5.65E+02,1.11E+03
1.5,0.00E+00,1.58E+04,5.34E+03,1.05E+04,1.49E+03,1.65E+02,3.23E+02
2,0.00E+00,8.22E+03,2.11E+03,4.11E+03,7.72E+02,6.63E+01,1.29E+02
2.1283,0.00E+00,7.11E+03,1.72E+03,3.35E+03,6.67E+02,5.42E+01,1.06E+02
2.1453,1.14E+05,6.98E+03,1.67E+03,3.26E+03,6.55E+02,5.28E+01,1.03E+02
3,5.24E+04,3.11E+03,5.38E+02,1.05E+03,2.91E+02,1.74E+01,3.38E+01
4,2.46E+04,1.50E+03,1.98E+02,3.84E+02,1.41E+02,6.45E+00,1.25E+01
5,1.35E+04,8.40E+02,8.95E+01,1.73E+02,7.88E+01,2.94E+00,5.67E+00
6,8.11E+03,5.16E+02,4.63E+01,8.93E+01,4.85E+01,1.53E+00,2.94E+00
8,3.59E+03,2.35E+02,1.61E+01,3.09E+01,2.21E+01,5.34E-01,1.02E+00
10,1.88E+03,1.25E+02,6.98E+00,1.33E+01,1.18E+01,2.33E-01,4.44E-01
15,5.64E+02,3.89E+01,1.48E+00,2.81E+00,3.67E+00,4.98E-02,9.41E-02
20,2.36E+02,1.66E+01,4.85E-01,9.12E-01,1.56E+00,1.63E-02,3.06E-02
30,6.75E+01,4.84E+00,9.87E-02,1.83E-01,4.57E-01,3.34E-03,6.16E-03
40,2.74E+01,1.99E+00,3.17E-02,5.80E-02,1.88E-01,1.08E-03,1.96E-03
50,1.35E+01,9.87E-01,1.32E-02,2.38E-02,9.35E-02,4.47E-04,8.05E-04
60,7.59E+00,5.56E-01,6.42E-03,1.15E-02,5.27E-02,2.18E-04,3.89E-04
80,3.03E+00,2.23E-01,2.09E-03,3.67E-03,2.11E-02,7.10E-05,1.24E-04
100,1.48E+00,1.10E-01,8.85E-04,1.52E-03,1.04E-02,3.00E-05,5.17E-05
150,4.05E-01,3.02E-02,1.91E-04,3.19E-04,2.86E-03,6.47E-06,1.08E-05
200,1.64E-01,1.22E-02,6.67E-05,1.09E-04,1.16E-03,2.26E-06,3.71E-06
300,4.72E-02,3.54E-03,1.63E-05,2.63E-05,3.36E-04,5.50E-07,8.95E-07
400,2.05E-02,1.54E-03,6.39E-06,1.04E-05,1.46E-04,2.15E-07,3.54E-07
500,1.11E-02,8.34E-04,3.22E-06,5.36E-06,7.91E-05,1.09E-07,1.83E-07
600,6.95E-03,5.22E-04,1.90E-06,3.25E-06,4.95E-05,6.40E-08,1.11E-07
800,3.52E-03,2.64E-04,8.80E-07,1.58E-06,2.51E-05,2.95E-08,5.44E-08
1000,2.19E-03,1.64E-04,5.08E-07,9.66E-07,1.56E-05,1.70E-08,3.34E-08
1500,1.03E-03,7.71E-05,2.11E-07,4.41E-07,7.35E-06,7.01E-09,1.56E-08
