PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,4s1/2
1,0.00E+00,7.44E+04,7.36E+04,1.44E+05,1.06E+04,6.89E+03,1.35E+04,8.14E+02
1.5,0.00E+00,3.47E+04,2.29E+04,4.45E+04,4.70E+03,2.29E+03,4.45E+03,3.58E+02
2,0.00E+00,1.92E+04,9.58E+03,1.86E+04,2.56E+03,9.94E+02,1.93E+03,1.94E+02
3,0.00E+00,7.90E+03,2.66E+03,5.12E+03,1.04E+03,2.87E+02,5.54E+02,7.88E+01
4,0.00E+00,4.04E+03,1.04E+03,1.99E+03,5.28E+02,1.14E+02,2.19E+02,4.01E+01
4.011,0.00E+00,4.02E+03,1.03E+03,1.97E+03,5.24E+02,1.13E+02,2.17E+02,3.98E+01
4.0432,6.00E+04,3.94E+03,1.00E+03,1.92E+03,5.14E+02,1.10E+02,2.12E+02,3.90E+01
5,3.57E+04,2.36E+03,4.90E+02,9.35E+02,3.07E+02,5.48E+01,1.05E+02,2.33E+01
6,2.22E+04,1.50E+03,2.62E+02,4.98E+02,1.95E+02,2.96E+01,5.65E+01,1.48E+01
8,1.03E+04,7.16E+02,9.56E+01,1.81E+02,9.32E+01,1.10E+01,2.08E+01,7.07E+00
10,5.56E+03,3.96E+02,4.31E+01,8.10E+01,5.17E+01,4.99E+00,9.41E+00,3.92E+00
15,1.76E+03,1.31E+02,9.80E+00,1.82E+01,1.71E+01,1.15E+00,2.14E+00,1.30E+00
20,7.58E+02,5.78E+01,3.35E+00,6.18E+00,7.57E+00,3.97E-01,7.30E-01,5.75E-01
30,2.26E+02,1.77E+01,7.22E-01,1.31E+00,2.33E+00,8.61E-02,1.56E-01,1.77E-01
40,9.40E+01,7.51E+00,2.40E-01,4.28E-01,9.88E-01,2.87E-02,5.12E-02,7.51E-02
50,4.72E+01,3.82E+00,1.02E-01,1.79E-01,5.03E-01,1.22E-02,2.15E-02,3.82E-02
60,2.68E+01,2.19E+00,5.06E-02,8.80E-02,2.88E-01,6.08E-03,1.06E-02,2.19E-02
80,1.09E+01,8.98E-01,1.68E-02,2.87E-02,1.18E-01,2.03E-03,3.46E-03,9.00E-03
100,5.41E+00,4.48E-01,7.23E-03,1.21E-02,5.92E-02,8.74E-04,1.46E-03,4.50E-03
150,1.51E+00,1.27E-01,1.60E-03,2.60E-03,1.67E-02,1.94E-04,3.14E-04,1.27E-03
200,6.19E-01,5.21E-02,5.73E-04,9.05E-04,6.88E-03,6.92E-05,1.09E-04,5.23E-04
300,1.82E-01,1.54E-02,1.43E-04,2.21E-04,2.03E-03,1.73E-05,2.68E-05,1.54E-04
400,7.94E-02,6.73E-03,5.66E-05,8.80E-05,8.90E-04,6.85E-06,1.07E-05,6.77E-05
500,4.33E-02,3.68E-03,2.89E-05,4.54E-05,4.86E-04,3.48E-06,5.52E-06,3.70E-05
600,2.72E-02,2.31E-03,1.71E-05,2.76E-05,3.05E-04,2.07E-06,3.35E-06,2.32E-05
800,1.38E-02,1.17E-03,7.95E-06,1.35E-05,1.55E-04,9.60E-07,1.64E-06,1.18E-05
1000,8.58E-03,7.29E-04,4.64E-06,8.18E-06,9.64E-05,5.57E-07,9.99E-07,7.40E-06
1500,4.02E-03,3.41E-04,1.94E-06,3.72E-06,4.51E-05,2.31E-07,4.55E-07,3.52E-06
