PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2
1,0.00E+00,1.17E+05,2.14E+05,4.18E+05,2.15E+04,2.05E+04,3.99E+04,3.89E+03,5.71E+03,1.45E+03
1.5,0.00E+00,6.13E+04,7.45E+04,1.44E+05,9.98E+03,7.59E+03,1.46E+04,9.17E+02,1.34E+03,6.65E+02
2,0.00E+00,3.65E+04,3.32E+04,6.36E+04,5.63E+03,3.56E+03,6.83E+03,3.15E+02,4.60E+02,3.73E+02
3,0.00E+00,1.63E+04,9.99E+03,1.90E+04,2.42E+03,1.15E+03,2.18E+03,6.53E+01,9.51E+01,1.59E+02
4,0.00E+00,8.85E+03,4.10E+03,7.75E+03,1.29E+03,4.90E+02,9.25E+02,2.04E+01,2.96E+01,8.52E+01
5,0.00E+00,5.38E+03,2.01E+03,3.79E+03,7.77E+02,2.47E+02,4.64E+02,8.05E+00,1.17E+01,5.13E+01
6,0.00E+00,3.53E+03,1.11E+03,2.08E+03,5.08E+02,1.39E+02,2.60E+02,3.71E+00,5.34E+00,3.35E+01
7.0763,0.00E+00,2.38E+03,6.45E+02,1.20E+03,3.42E+02,8.16E+01,1.52E+02,1.83E+00,2.63E+00,2.26E+01
7.133,3.26E+04,2.34E+03,6.28E+02,1.17E+03,3.36E+02,7.95E+01,1.48E+02,1.77E+00,2.54E+00,2.21E+01
8,2.48E+04,1.77E+03,4.28E+02,7.93E+02,2.54E+02,5.46E+01,1.01E+02,1.08E+00,1.54E+00,1.67E+01
10,1.39E+04,1.02E+03,2.00E+02,3.69E+02,1.46E+02,2.60E+01,4.78E+01,4.09E-01,5.83E-01,9.61E+00
15,4.65E+03,3.57E+02,4.86E+01,8.83E+01,5.11E+01,6.46E+00,1.17E+01,6.78E-02,9.57E-02,3.37E+00
20,2.08E+03,1.65E+02,1.74E+01,3.12E+01,2.36E+01,2.34E+00,4.19E+00,1.84E-02,2.58E-02,1.56E+00
30,6.46E+02,5.32E+01,3.97E+00,6.98E+00,7.67E+00,5.41E-01,9.50E-01,2.89E-03,3.98E-03,5.06E-01
40,2.76E+02,2.33E+01,1.37E+00,2.37E+00,3.37E+00,1.88E-01,3.25E-01,7.72E-04,1.05E-03,2.22E-01
50,1.42E+02,1.21E+01,5.98E-01,1.02E+00,1.76E+00,8.27E-02,1.40E-01,2.78E-04,3.74E-04,1.16E-01
60,8.16E+01,7.08E+00,3.04E-01,5.10E-01,1.02E+00,4.21E-02,7.04E-02,1.21E-04,1.61E-04,6.77E-02
80,3.39E+01,2.99E+00,1.04E-01,1.71E-01,4.33E-01,1.45E-02,2.37E-02,3.27E-05,4.30E-05,2.86E-02
100,1.71E+01,1.52E+00,4.57E-02,7.34E-02,2.21E-01,6.38E-03,1.02E-02,1.20E-05,1.57E-05,1.46E-02
150,4.89E+00,4.42E-01,1.05E-02,1.62E-02,6.43E-02,1.47E-03,2.26E-03,2.04E-06,2.61E-06,4.25E-03
200,2.03E+00,1.85E-01,3.79E-03,5.72E-03,2.69E-02,5.33E-04,8.00E-04,6.08E-07,7.78E-07,1.78E-03
300,6.07E-01,5.57E-02,9.70E-04,1.42E-03,8.12E-03,1.36E-04,2.00E-04,1.21E-07,1.57E-07,5.37E-04
400,2.68E-01,2.47E-02,3.90E-04,5.71E-04,3.60E-03,5.48E-05,8.01E-05,4.14E-08,5.62E-08,2.38E-04
500,1.47E-01,1.36E-02,2.00E-04,2.97E-04,1.98E-03,2.82E-05,4.16E-05,1.90E-08,2.70E-08,1.31E-04
600,9.26E-02,8.57E-03,1.20E-04,1.80E-04,1.25E-03,1.68E-05,2.53E-05,1.03E-08,1.56E-08,8.26E-05
800,4.72E-02,4.37E-03,5.62E-05,8.80E-05,6.37E-04,7.88E-06,1.24E-05,4.25E-09,7.15E-09,4.22E-05
1000,2.94E-02,2.72E-03,3.27E-05,5.37E-05,3.96E-04,4.60E-06,7.54E-06,2.28E-09,4.18E-09,2.63E-05
1500,1.37E-02,1.27E-03,1.37E-05,2.42E-05,1.85E-04,1.92E-06,3.42E-06,8.54E-10,1.82E-09,1.24E-05
