PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.08E+04,5.19E+04,1.02E+05,5.58E+04,8.16E+04,5.16E+03,3.48E+03,6.73E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.05E+04,2.29E+04,4.42E+04,1.53E+04,2.23E+04,2.50E+03,1.51E+03,2.87E+03
1.552,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.93E+04,2.13E+04,4.10E+04,1.37E+04,1.99E+04,2.35E+03,1.40E+03,2.66E+03
1.5644,0.00E+00,0.00E+00,0.00E+00,4.06E+05,1.91E+04,2.09E+04,4.03E+04,1.33E+04,1.94E+04,2.31E+03,1.37E+03,2.61E+03
1.6006,0.00E+00,0.00E+00,0.00E+00,3.61E+05,1.83E+04,1.99E+04,3.83E+04,1.24E+04,1.80E+04,2.22E+03,1.31E+03,2.48E+03
1.6134,0.00E+00,0.00E+00,1.94E+05,3.61E+05,1.81E+04,1.96E+04,3.76E+04,1.20E+04,1.75E+04,2.18E+03,1.28E+03,2.44E+03
1.7675,0.00E+00,0.00E+00,1.54E+05,2.95E+05,1.53E+04,1.60E+04,3.05E+04,8.85E+03,1.28E+04,1.84E+03,1.05E+03,1.98E+03
1.7817,0.00E+00,6.98E+04,1.51E+05,2.89E+05,1.51E+04,1.57E+04,3.00E+04,8.61E+03,1.25E+04,1.81E+03,1.03E+03,1.94E+03
2,0.00E+00,6.25E+04,1.11E+05,2.12E+05,1.22E+04,1.20E+04,2.29E+04,5.79E+03,8.39E+03,1.46E+03,7.85E+02,1.48E+03
3,0.00E+00,3.15E+04,3.76E+04,7.05E+04,5.60E+03,4.42E+03,8.29E+03,1.36E+03,1.96E+03,6.59E+02,2.90E+02,5.39E+02
4,0.00E+00,1.84E+04,1.66E+04,3.08E+04,3.13E+03,2.06E+03,3.82E+03,4.65E+02,6.66E+02,3.66E+02,1.36E+02,2.50E+02
5,0.00E+00,1.18E+04,8.59E+03,1.58E+04,1.96E+03,1.11E+03,2.04E+03,1.97E+02,2.81E+02,2.28E+02,7.32E+01,1.33E+02
6,0.00E+00,8.08E+03,4.94E+03,9.01E+03,1.32E+03,6.58E+02,1.20E+03,9.61E+01,1.37E+02,1.53E+02,4.38E+01,7.86E+01
8,0.00E+00,4.32E+03,2.02E+03,3.64E+03,6.95E+02,2.80E+02,5.05E+02,3.02E+01,4.27E+01,8.07E+01,1.87E+01,3.32E+01
10,0.00E+00,2.60E+03,9.90E+02,1.76E+03,4.15E+02,1.41E+02,2.52E+02,1.20E+01,1.69E+01,4.82E+01,9.46E+00,1.66E+01
13.422,0.00E+00,1.29E+03,3.77E+02,6.63E+02,2.06E+02,5.55E+01,9.76E+01,3.46E+00,4.83E+00,2.39E+01,3.73E+00,6.45E+00
13.53,1.65E+04,1.27E+03,3.68E+02,6.46E+02,2.02E+02,5.41E+01,9.51E+01,3.34E+00,4.67E+00,2.34E+01,3.64E+00,6.28E+00
15,1.27E+04,9.86E+02,2.61E+02,4.55E+02,1.57E+02,3.87E+01,6.76E+01,2.15E+00,2.99E+00,1.82E+01,2.60E+00,4.48E+00
20,6.00E+03,4.79E+02,9.85E+01,1.69E+02,7.61E+01,1.50E+01,2.57E+01,6.21E-01,8.55E-01,8.84E+00,1.01E+00,1.71E+00
30,1.98E+03,1.66E+02,2.42E+01,4.06E+01,2.64E+01,3.77E+00,6.31E+00,1.05E-01,1.43E-01,3.07E+00,2.55E-01,4.20E-01
40,8.81E+02,7.61E+01,8.80E+00,1.21E+01,1.21E+01,1.39E+00,2.27E+00,2.95E-02,3.92E-02,1.41E+00,9.40E-02,1.52E-01
