PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.13E+04,6.92E+04,1.38E+05,1.11E+05,1.62E+05,9.00E+03,9.13E+03,1.79E+04,5.44E+02,7.89E+02,8.44E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.66E+04,3.27E+04,6.35E+04,3.24E+04,4.70E+04,4.42E+03,4.16E+03,8.02E+03,1.67E+02,2.41E+02,4.09E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E+04,1.79E+04,3.42E+04,1.27E+04,1.84E+04,2.61E+03,2.25E+03,4.27E+03,6.74E+01,9.68E+01,2.40E+02
2.0793,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+04,1.64E+04,3.13E+04,1.12E+04,1.61E+04,2.42E+03,2.06E+03,3.91E+03,5.94E+01,8.53E+01,2.23E+02
2.096,0.00E+00,0.00E+00,0.00E+00,2.79E+05,1.48E+04,1.61E+04,3.07E+04,1.09E+04,1.57E+04,2.39E+03,2.02E+03,3.84E+03,5.79E+01,8.31E+01,2.19E+02
2.1576,0.00E+00,0.00E+00,0.00E+00,2.54E+05,1.40E+04,1.51E+04,2.88E+04,9.86E+03,1.42E+04,2.26E+03,1.90E+03,3.59E+03,5.27E+01,7.48E+01,2.08E+02
2.1749,0.00E+00,0.00E+00,1.33E+05,2.50E+05,1.38E+04,1.48E+04,2.82E+04,9.60E+03,1.39E+04,2.23E+03,1.86E+03,3.53E+03,5.13E+01,7.29E+01,2.05E+02
2.3526,0.00E+00,0.00E+00,1.09E+05,2.09E+05,1.20E+04,1.24E+04,2.35E+04,7.36E+03,1.06E+04,1.92E+03,1.55E+03,2.94E+03,3.94E+01,5.61E+01,1.76E+02
2.3715,0.00E+00,5.39E+04,1.07E+05,2.04E+05,1.18E+04,1.22E+04,2.31E+04,7.16E+03,1.03E+04,1.89E+03,1.53E+03,2.88E+03,3.84E+01,5.47E+01,1.73E+02
3,0.00E+00,3.80E+04,5.80E+04,1.08E+05,7.56E+03,6.97E+03,1.31E+04,3.16E+03,4.53E+03,1.20E+03,8.72E+02,1.63E+03,1.72E+01,2.45E+01,1.11E+02
4,0.00E+00,2.30E+04,2.64E+04,4.86E+04,4.30E+03,3.38E+03,6.24E+03,1.12E+03,1.59E+03,6.74E+02,4.23E+02,7.81E+02,6.22E+00,8.77E+00,6.26E+01
5,0.00E+00,1.51E+04,1.40E+04,2.54E+04,2.73E+03,1.87E+03,3.41E+03,4.85E+02,6.90E+02,4.25E+02,2.35E+02,4.29E+02,2.73E+00,3.84E+00,3.95E+01
6,0.00E+00,1.05E+04,8.18E+03,1.47E+04,1.86E+03,1.13E+03,2.05E+03,2.41E+02,3.42E+02,2.89E+02,1.43E+02,2.58E+02,1.37E+00,1.92E+00,2.68E+01
8,0.00E+00,5.76E+03,3.42E+03,6.09E+03,9.97E+02,4.97E+02,8.86E+02,7.81E+01,1.10E+02,1.54E+02,6.30E+01,1.12E+02,4.48E-01,6.23E-01,1.43E+01
10,0.00E+00,3.53E+03,1.71E+03,3.00E+03,6.04E+02,2.56E+02,4.52E+02,3.18E+01,4.45E+01,9.34E+01,3.26E+01,5.75E+01,1.84E-01,2.54E-01,8.66E+00
15,0.00E+00,1.38E+03,4.65E+02,7.98E+02,2.34E+02,7.32E+01,1.26E+02,5.95E+00,8.21E+00,3.61E+01,9.37E+00,1.61E+01,3.47E-02,4.73E-02,3.35E+00
16.984,0.00E+00,1.03E+03,3.09E+02,5.26E+02,1.73E+02,4.93E+01,8.42E+01,3.52E+00,4.84E+00,2.67E+01,6.33E+00,1.08E+01,2.06E-02,2.79E-02,2.48E+00
17.12,1.27E+04,1.01E+03,3.01E+02,5.13E+02,1.70E+02,4.80E+01,8.20E+01,3.40E+00,4.67E+00,2.62E+01,6.17E+00,1.05E+01,1.99E-02,2.70E-02,2.43E+00
20,8.58E+03,6.86E+02,1.80E+02,3.03E+02,1.16E+02,2.90E+01,4.91E+01,1.76E+00,2.40E+00,1.79E+01,3.74E+00,6.29E+00,1.03E-02,1.39E-02,1.66E+00
30,2.91E+03,2.44E+02,4.55E+01,7.44E+01,4.13E+01,7.58E+00,1.24E+01,3.06E-01,4.10E-01,6.37E+00,9.79E-01,1.60E+00,1.81E-03,2.39E-03,5.90E-01
40,1.32E+03,1.14E+02,1.69E+01,2.69E+01,1.93E+01,2.85E+00,4.57E+00,8.76E-02,1.16E-01,2.98E+00,3.70E-01,5.89E-01,5.19E-04,6.76E-04,2.76E-01
50,7.01E+02,6.22E+01,7.74E+00,1.21E+01,1.05E+01,1.33E+00,2.08E+00,3.31E-02,4.32E-02,1.63E+00,1.72E-01,2.69E-01,1.96E-04,2.53E-04,1.51E-01
60,4.16E+02,3.76E+01,4.09E+00,6.28E+00,6.38E+00,7.05E-01,1.09E+00,1.49E-02,1.93E-02,9.85E-01,9.16E-02,1.40E-01,8.87E-05,1.13E-04,9.12E-02
80,1.80E+02,1.67E+01,1.49E+00,2.22E+00,2.84E+00,2.59E-01,3.87E-01,4.28E-03,5.39E-03,4.39E-01,3.37E-02,5.01E-02,2.55E-05,3.18E-05,4.07E-02
100,9.33E+01,8.82E+00,6.81E-01,9.90E-01,1.50E+00,1.19E-01,1.74E-01,1.64E-03,2.04E-03,2.32E-01,1.55E-02,2.25E-02,9.77E-06,1.20E-05,2.15E-02
150,2.81E+01,2.73E+00,1.67E-01,2.31E-01,4.67E-01,2.96E-02,4.09E-02,2.98E-04,3.62E-04,7.21E-02,3.86E-03,5.31E-03,1.78E-06,2.14E-06,6.68E-03
200,1.20E+01,1.18E+00,6.32E-02,8.46E-02,2.03E-01,1.12E-02,1.50E-02,9.25E-05,1.12E-04,3.14E-02,1.47E-03,1.95E-03,5.51E-07,6.60E-07,2.90E-03
300,3.71E+00,3.72E-01,1.69E-02,2.18E-02,6.39E-02,3.03E-03,3.89E-03,1.92E-05,2.35E-05,9.89E-03,3.95E-04,5.06E-04,1.14E-07,1.39E-07,9.16E-04
400,1.68E+00,1.69E-01,7.01E-03,8.91E-03,2.91E-02,1.26E-03,1.59E-03,6.77E-06,8.46E-06,4.50E-03,1.64E-04,2.07E-04,4.01E-08,5.04E-08,4.17E-04
