PhotonEnergy[keV],1s1/2,2s1/2
1,8.71E+03,3.18E+02
1.5,2.58E+03,9.61E+01
2,1.07E+03,4.02E+01
3,3.01E+02,1.15E+01
4,1.21E+02,4.62E+00
5,5.88E+01,2.26E+00
6,3.26E+01,1.26E+00
8,1.27E+01,4.93E-01
10,6.09E+00,2.37E-01
15,1.59E+00,6.19E-02
20,6.06E-01,2.37E-02
30,1.55E-01,6.08E-03
40,5.88E-02,2.30E-03
50,2.76E-02,1.09E-03
60,1.50E-02,5.86E-04
80,5.67E-03,2.22E-04
100,2.68E-03,1.05E-04
150,6.94E-04,2.72E-05
200,2.71E-04,1.06E-05
300,7.54E-05,2.95E-06
400,3.20E-05,1.25E-06
500,1.72E-05,6.72E-07
600,1.07E-05,4.18E-07
800,5.38E-06,2.11E-07
1000,3.34E-06,1.31E-07
1500,1.58E-06,6.31E-08
