PhotonEnergy[kev],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.92E+04,8.20E+04,1.66E+05,1.69E+05,2.47E+05,1.20E+04,1.27E+04,2.51E+04,5.32E+03,7.69E+03,4.66E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.14E+04,4.07E+04,7.96E+04,5.15E+04,7.46E+04,5.91E+03,5.97E+03,1.15E+04,1.73E+03,2.48E+03,2.26E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.92E+04,2.29E+04,4.40E+04,2.08E+04,3.00E+04,3.51E+03,3.30E+03,6.28E+03,7.23E+02,1.03E+03,1.33E+02
2.5184,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E+04,1.39E+04,2.63E+04,9.72E+03,1.40E+04,2.28E+03,1.99E+03,3.74E+03,3.47E+02,4.93E+02,8.60E+01
2.5386,0.00E+00,0.00E+00,0.00E+00,2.23E+05,1.25E+04,1.37E+04,2.58E+04,9.46E+03,1.36E+04,2.25E+03,1.95E+03,3.67E+03,3.38E+02,4.81E+02,8.63E+01
2.627,0.00E+00,0.00E+00,0.00E+00,2.01E+05,1.18E+04,1.26E+04,2.39E+04,8.43E+03,1.21E+04,2.10E+03,1.81E+03,3.39E+03,3.02E+02,4.29E+02,8.09E+01
2.648,0.00E+00,0.00E+00,1.06E+05,1.97E+05,1.16E+04,1.24E+04,2.34E+04,8.20E+03,1.18E+04,2.07E+03,1.77E+03,3.32E+03,2.94E+02,4.18E+02,7.96E+01
2.8439,0.00E+00,0.00E+00,8.80E+04,1.67E+05,1.02E+04,1.05E+04,1.98E+04,6.43E+03,9.22E+03,1.81E+03,1.51E+03,2.81E+03,2.32E+02,3.30E+02,6.94E+01
2.8666,0.00E+00,4.48E+04,8.64E+04,1.63E+05,1.00E+04,1.03E+04,1.94E+04,6.26E+03,8.97E+03,1.78E+03,1.48E+03,2.76E+03,2.26E+02,3.21E+02,6.84E+01
3,0.00E+00,4.23E+04,7.75E+04,1.45E+05,9.19E+03,9.30E+03,1.74E+04,5.36E+03,7.67E+03,1.63E+03,1.33E+03,2.47E+03,1.94E+02,2.73E+02,6.26E+01
4,0.00E+00,2.62E+04,3.58E+04,6.57E+04,5.29E+03,4.63E+03,8.53E+03,1.94E+03,2.77E+03,9.24E+02,6.60E+02,1.21E+03,7.20E+01,1.01E+02,3.54E+01
