PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.43E+04,1.04E+05,2.25E+05,3.70E+05,5.39E+05,1.99E+04,2.24E+04,4.53E+04,3.46E+04,5.01E+04,2.07E+03,1.89E+02,3.55E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.25E+04,5.92E+04,1.20E+05,1.23E+05,1.77E+05,9.96E+03,1.11E+04,2.18E+04,1.25E+04,1.79E+04,1.01E+03,9.18E+01,1.68E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.69E+04,3.58E+04,7.02E+04,5.24E+04,7.52E+04,5.97E+03,6.43E+03,1.23E+04,5.62E+03,8.01E+03,6.00E+02,5.26E+01,9.52E+01
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+04,1.59E+04,3.00E+04,1.45E+04,2.07E+04,2.83E+03,2.78E+03,5.16E+03,1.67E+03,2.36E+03,2.81E+02,2.33E+01,3.98E+01
3.7246,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+03,9.85E+03,1.83E+04,7.08E+03,1.00E+04,1.88E+03,1.71E+03,3.14E+03,8.36E+02,1.17E+03,1.85E+02,1.44E+01,2.42E+01
3.7544,0.00E+00,0.00E+00,0.00E+00,1.34E+05,8.87E+03,9.67E+03,1.79E+04,6.89E+03,9.74E+03,1.85E+03,1.68E+03,3.08E+03,8.15E+02,1.14E+03,1.83E+02,1.41E+01,2.37E+01
3.9388,0.00E+00,0.00E+00,0.00E+00,1.22E+05,8.10E+03,8.66E+03,1.60E+04,5.85E+03,8.26E+03,1.69E+03,1.51E+03,2.75E+03,6.96E+02,9.76E+02,1.66E+02,1.27E+01,2.12E+01
3.9703,0.00E+00,0.00E+00,6.29E+04,1.19E+05,7.98E+03,8.51E+03,1.57E+04,5.69E+03,8.04E+03,1.66E+03,1.48E+03,2.70E+03,6.78E+02,9.50E+02,1.64E+02,1.24E+01,2.08E+01
4,0.00E+00,0.00E+00,6.39E+04,1.17E+05,7.87E+03,8.36E+03,1.54E+04,5.55E+03,7.84E+03,1.64E+03,1.45E+03,2.65E+03,6.62E+02,9.27E+02,1.61E+02,1.22E+01,2.04E+01
4.2099,0.00E+00,0.00E+00,5.60E+04,1.04E+05,7.15E+03,7.42E+03,1.36E+04,4.66E+03,6.56E+03,1.48E+03,1.29E+03,2.34E+03,5.58E+02,7.81E+02,1.46E+02,1.08E+01,1.80E+01
4.2436,0.00E+00,2.99E+04,5.50E+04,1.01E+05,7.04E+03,7.28E+03,1.34E+04,4.53E+03,6.39E+03,1.46E+03,1.27E+03,2.30E+03,5.44E+02,7.61E+02,1.44E+02,1.06E+01,1.77E+01
5,0.00E+00,2.34E+04,3.63E+04,6.51E+04,5.14E+03,4.92E+03,8.92E+03,2.56E+03,3.59E+03,1.05E+03,8.54E+02,1.53E+03,3.12E+02,4.35E+02,1.05E+02,7.18E+00,1.18E+01
6,0.00E+00,1.68E+04,2.20E+04,3.89E+04,3.59E+03,3.13E+03,5.59E+03,1.33E+03,1.86E+03,7.30E+02,5.44E+02,9.63E+02,1.66E+02,2.29E+02,7.27E+01,4.57E+00,7.41E+00
8,0.00E+00,9.81E+03,9.79E+03,1.69E+04,2.00E+03,1.48E+03,2.59E+03,4.62E+02,6.40E+02,4.02E+02,2.58E+02,4.48E+02,5.89E+01,8.08E+01,4.00E+01,2.17E+00,3.45E+00
10,0.00E+00,6.29E+03,5.10E+03,8.66E+03,1.25E+03,8.06E+02,1.38E+03,1.98E+02,2.72E+02,2.50E+02,1.41E+02,2.41E+02,2.57E+01,3.50E+01,2.48E+01,1.19E+00,1.86E+00
15,0.00E+00,2.66E+03,1.50E+03,2.45E+03,5.10E+02,2.53E+02,4.20E+02,4.05E+01,5.48E+01,1.02E+02,4.47E+01,7.37E+01,5.36E+00,7.14E+00,1.01E+01,3.76E-01,5.69E-01
20,0.00E+00,1.39E+03,6.08E+02,9.72E+02,2.63E+02,1.07E+02,1.73E+02,1.27E+01,1.69E+01,5.24E+01,1.90E+01,3.05E+01,1.70E+00,2.24E+00,5.20E+00,1.60E-01,2.36E-01
27.894,0.00E+00,6.28E+02,2.09E+02,3.24E+02,1.19E+02,3.81E+01,5.98E+01,3.23E+00,4.23E+00,2.36E+01,6.81E+00,1.06E+01,4.36E-01,5.64E-01,2.34E+00,5.74E-02,8.20E-02
28.118,7.32E+03,6.16E+02,2.03E+02,3.15E+02,1.16E+02,3.72E+01,5.83E+01,3.12E+00,4.09E+00,2.31E+01,6.64E+00,1.03E+01,4.22E-01,5.46E-01,2.29E+00,5.60E-02,7.99E-02
30,6.22E+03,5.26E+02,1.65E+02,2.53E+02,9.92E+01,3.03E+01,4.72E+01,2.38E+00,3.11E+00,1.97E+01,5.42E+00,8.38E+00,3.23E-01,4.16E-01,1.96E+00,4.57E-02,6.48E-02
40,2.95E+03,2.56E+02,6.38E+01,9.53E+01,4.82E+01,1.20E+01,1.82E+01,7.13E-01,9.14E-01,9.58E+00,2.16E+00,3.25E+00,9.74E-02,1.23E-01,9.51E-01,1.82E-02,2.51E-02
50,1.61E+03,1.44E+02,3.03E+01,4.42E+01,2.71E+01,5.81E+00,8.56E+00,2.78E-01,3.51E-01,5.39E+00,1.05E+00,1.53E+00,3.82E-02,4.76E-02,5.35E-01,8.84E-03,1.19E-02
60,9.77E+02,8.90E+01,1.64E+01,2.34E+01,1.68E+01,3.19E+00,4.59E+00,1.29E-01,1.61E-01,3.34E+00,5.76E-01,8.21E-01,1.78E-02,2.18E-02,3.31E-01,4.86E-03,6.37E-03
80,4.36E+02,4.10E+01,6.24E+00,8.56E+00,7.76E+00,1.23E+00,1.70E+00,3.84E-02,4.69E-02,1.54E+00,2.22E-01,3.05E-01,5.31E-03,6.39E-03,1.53E-01,1.88E-03,2.37E-03
100,2.31E+02,2.22E+01,2.94E+00,3.91E+00,4.21E+00,5.84E-01,7.85E-01,1.51E-02,1.82E-02,8.38E-01,1.06E-01,1.41E-01,2.10E-03,2.48E-03,8.32E-02,8.94E-04,1.09E-03
150,7.18E+01,7.17E+00,7.58E-01,9.51E-01,1.36E+00,1.53E-01,1.94E-01,2.87E-03,3.35E-03,2.72E-01,2.78E-02,3.49E-02,3.99E-04,4.60E-04,2.70E-02,2.34E-04,2.70E-04
200,3.14E+01,3.20E+00,2.96E-01,3.56E-01,6.10E-01,6.00E-02,7.29E-02,9.15E-04,1.05E-03,1.22E-01,1.09E-02,1.32E-02,1.27E-04,1.45E-04,1.21E-02,9.22E-05,1.02E-04
300,9.97E+00,1.04E+00,8.22E-02,9.43E-02,1.99E-01,1.68E-02,1.94E-02,1.96E-04,2.27E-04,3.96E-02,3.07E-03,3.51E-03,2.74E-05,3.13E-05,3.93E-03,2.59E-05,2.73E-05
