PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.35E+05,1.20E+06,3.28E+04,3.77E+04,8.28E+04,9.87E+04,1.44E+05,6.10E+03,7.84E+03,6.36E+03,5.90E+03,1.23E+04,5.93E+02
1.2271,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.95E+05,7.20E+05,2.39E+04,2.82E+04,5.99E+04,6.45E+04,9.35E+04,3.02E+03,3.87E+03,4.52E+03,4.29E+03,8.73E+03,4.17E+02
1.2369,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E+05,4.85E+05,7.06E+05,2.36E+04,2.78E+04,5.91E+04,6.34E+04,9.18E+04,2.93E+03,3.76E+03,4.46E+03,4.23E+03,8.61E+03,4.11E+02
1.3246,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.06E+05,4.11E+05,5.96E+05,2.11E+04,2.51E+04,5.27E+04,5.45E+04,7.87E+04,2.30E+03,2.95E+03,3.97E+03,3.79E+03,7.64E+03,3.65E+02
1.3352,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.68E+04,2.04E+05,4.03E+05,5.84E+05,2.09E+04,2.48E+04,5.20E+04,5.35E+04,7.73E+04,2.24E+03,2.87E+03,3.91E+03,3.74E+03,7.53E+03,3.59E+02
1.479,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.88E+04,1.78E+05,3.14E+05,4.54E+05,1.77E+04,2.11E+04,4.36E+04,4.23E+04,6.09E+04,1.55E+03,1.98E+03,3.28E+03,3.15E+03,6.28E+03,3.00E+02
1.4909,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.40E+04,7.81E+04,1.76E+05,3.08E+05,4.45E+05,1.74E+04,2.08E+04,4.30E+04,4.15E+04,5.98E+04,1.51E+03,1.93E+03,3.24E+03,3.11E+03,6.19E+03,2.95E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.38E+04,7.76E+04,1.74E+05,3.03E+05,4.38E+05,1.73E+04,2.06E+04,4.26E+04,4.10E+04,5.89E+04,1.47E+03,1.89E+03,3.20E+03,3.08E+03,6.12E+03,2.92E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.64E+04,5.26E+04,1.11E+05,1.40E+05,2.00E+05,1.06E+04,1.26E+04,2.52E+04,2.02E+04,2.88E+04,5.08E+02,6.48E+02,1.93E+03,1.85E+03,3.57E+03,1.74E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E+04,2.68E+04,5.24E+04,4.25E+04,5.99E+04,5.16E+03,5.89E+03,1.12E+04,6.74E+03,9.47E+03,1.05E+02,1.33E+02,9.20E+02,8.50E+02,1.58E+03,8.44E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+04,1.53E+04,2.87E+04,1.73E+04,2.41E+04,3.03E+03,3.27E+03,6.04E+03,2.90E+03,4.04E+03,3.21E+01,4.02E+01,5.36E+02,4.70E+02,8.47E+02,4.92E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.05E+03,9.52E+03,1.74E+04,8.32E+03,1.15E+04,1.99E+03,2.02E+03,3.64E+03,1.46E+03,2.01E+03,1.25E+01,1.56E+01,3.49E+02,2.89E+02,5.10E+02,3.20E+01
5.9482,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.83E+03,6.46E+03,1.15E+04,4.64E+03,6.38E+03,1.42E+03,1.37E+03,2.42E+03,8.33E+02,1.14E+03,5.88E+00,7.32E+00,2.48E+02,1.95E+02,3.38E+02,2.28E+01
5.9958,0.00E+00,0.00E+00,0.00E+00,7.73E+04,5.74E+03,6.34E+03,1.13E+04,4.51E+03,6.21E+03,1.40E+03,1.34E+03,2.37E+03,8.12E+02,1.11E+03,5.68E+00,7.07E+00,2.45E+02,1.91E+02,3.32E+02,2.24E+01
