PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2
1,4.20E+04,1.93E+03,3.17E+01,6.30E+01
1.5,1.33E+04,6.35E+02,6.92E+00,1.37E+01
2,5.73E+03,2.80E+02,2.26E+00,4.49E+00
3,1.70E+03,8.51E+01,4.55E-01,9.02E-01
4,7.07E+02,3.57E+01,1.45E-01,2.86E-01
5,3.54E+02,1.80E+01,5.93E-02,1.17E-01
6,2.00E+02,1.03E+01,2.83E-02,5.58E-02
8,8.04E+01,4.16E+00,8.74E-03,1.71E-02
10,3.93E+01,2.05E+00,3.47E-03,6.80E-03
15,1.06E+01,5.54E-01,6.42E-04,1.25E-03
20,4.12E+00,2.17E-01,1.92E-04,3.72E-04
30,1.08E+00,5.71E-02,3.51E-05,6.73E-05
40,4.15E-01,2.20E-02,1.06E-05,2.00E-05
50,1.97E-01,1.05E-02,4.17E-06,7.85E-06
60,1.07E-01,5.70E-03,1.97E-06,3.67E-06
80,4.11E-02,2.18E-03,6.06E-07,1.12E-06
100,1.95E-02,1.04E-03,2.47E-07,4.49E-07
150,5.12E-03,2.72E-04,5.03E-08,8.96E-08
200,2.01E-03,1.07E-04,1.70E-08,2.99E-08
300,5.64E-04,3.00E-05,3.97E-09,7.02E-09
400,2.41E-04,1.28E-05,1.52E-09,2.74E-09
500,1.29E-04,6.88E-06,7.50E-10,1.41E-09
600,8.05E-05,4.28E-06,4.38E-10,8.52E-10
800,4.06E-05,2.16E-06,1.99E-10,4.21E-10
1000,2.52E-05,1.34E-06,1.14E-10,2.62E-10
1500,1.19E-05,6.37E-07,4.88E-11,1.33E-10
