PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.71E+04,4.19E+04,9.76E+04,1.27E+05,1.86E+05,3.25E+04,4.17E+04,7.52E+03,6.90E+03,1.49E+04,7.50E+02,1.08E+03,7.25E+02
1.1985,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E+04,3.33E+04,7.47E+04,9.08E+04,1.32E+05,1.79E+04,2.30E+04,5.62E+03,5.30E+03,1.11E+04,5.31E+02,7.48E+02,5.34E+02
1.208,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.81E+05,2.83E+04,3.30E+04,7.38E+04,8.94E+04,1.30E+05,1.75E+04,2.24E+04,5.55E+03,5.24E+03,1.10E+04,5.23E+02,7.36E+02,5.27E+02
1.2304,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.35E+05,2.75E+04,3.22E+04,7.17E+04,8.62E+04,1.25E+05,1.64E+04,2.10E+04,5.38E+03,5.10E+03,1.07E+04,5.04E+02,7.09E+02,5.11E+02
1.2402,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.45E+05,9.72E+05,2.72E+04,3.18E+04,7.08E+04,8.48E+04,1.23E+05,1.60E+04,2.05E+04,5.32E+03,5.04E+03,1.05E+04,4.96E+02,6.97E+02,5.04E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.26E+05,6.16E+05,2.03E+04,2.43E+04,5.21E+04,5.70E+04,8.20E+04,8.33E+03,1.06E+04,3.87E+03,3.75E+03,7.62E+03,3.32E+02,4.64E+02,3.63E+02
1.5402,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.99E+05,5.76E+05,1.95E+04,2.33E+04,4.99E+04,5.38E+04,7.73E+04,7.60E+03,9.69E+03,3.71E+03,3.59E+03,7.27E+03,3.13E+02,4.38E+02,3.47E+02
1.5526,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+05,3.91E+05,5.65E+05,1.92E+04,2.30E+04,4.92E+04,5.29E+04,7.59E+04,7.39E+03,9.42E+03,3.66E+03,3.54E+03,7.17E+03,3.08E+02,4.30E+02,3.42E+02
1.6856,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E+05,3.18E+05,4.57E+05,1.68E+04,2.03E+04,4.28E+04,4.40E+04,6.29E+04,5.52E+03,7.04E+03,3.18E+03,3.10E+03,6.20E+03,2.56E+02,3.57E+02,2.96E+02
1.6991,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.08E+04,1.67E+05,3.12E+05,4.48E+05,1.66E+04,2.01E+04,4.22E+04,4.32E+04,6.18E+04,5.37E+03,6.84E+03,3.14E+03,3.06E+03,6.11E+03,2.51E+02,3.50E+02,2.92E+02
1.8633,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.35E+04,1.45E+05,2.47E+05,3.54E+05,1.43E+04,1.73E+04,3.59E+04,3.48E+04,4.97E+04,3.85E+03,4.90E+03,2.68E+03,2.62E+03,5.17E+03,2.03E+02,2.82E+02,2.48E+02
1.8782,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.28E+04,6.30E+04,1.44E+05,2.42E+05,3.47E+05,1.41E+04,1.71E+04,3.54E+04,3.42E+04,4.87E+04,3.74E+03,4.76E+03,2.64E+03,2.58E+03,5.10E+03,1.99E+02,2.76E+02,2.44E+02
