PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E+04,4.07E+04,1.28E+05,1.82E+05,2.73E+05,2.67E+05,3.42E+05,1.09E+04,9.51E+03,2.41E+04,1.35E+04,1.89E+04
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.54E+04,2.89E+04,7.53E+04,1.01E+05,1.46E+05,8.12E+04,1.03E+05,5.90E+03,5.69E+03,1.30E+04,7.02E+03,9.58E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+04,2.05E+04,4.85E+04,5.87E+04,8.36E+04,3.21E+04,4.05E+04,3.73E+03,3.78E+03,8.08E+03,4.02E+03,5.42E+03
2.0425,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E+04,1.99E+04,4.69E+04,5.63E+04,8.00E+04,2.99E+04,3.77E+04,3.61E+03,3.66E+03,7.80E+03,3.85E+03,5.18E+03
2.0588,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.56E+04,1.63E+04,1.97E+04,4.63E+04,5.53E+04,7.86E+04,2.91E+04,3.67E+04,3.56E+03,3.62E+03,7.69E+03,3.79E+03,5.09E+03
2.1211,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.11E+05,1.56E+04,1.90E+04,4.40E+04,5.20E+04,7.38E+04,2.63E+04,3.32E+04,3.39E+03,3.46E+03,7.31E+03,3.56E+03,4.78E+03
2.138,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.17E+04,5.18E+05,1.54E+04,1.88E+04,4.35E+04,5.12E+04,7.25E+04,2.56E+04,3.23E+04,3.35E+03,3.42E+03,7.21E+03,3.50E+03,4.70E+03
2.5364,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.45E+05,3.45E+05,1.19E+04,1.47E+04,3.25E+04,3.53E+04,4.95E+04,1.42E+04,1.79E+04,2.52E+03,2.62E+03,5.32E+03,2.41E+03,3.21E+03
2.5567,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+05,2.40E+05,3.37E+05,1.17E+04,1.46E+04,3.21E+04,3.47E+04,4.86E+04,1.38E+04,1.74E+04,2.49E+03,2.58E+03,5.25E+03,2.37E+03,3.15E+03
2.8979,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E+05,1.71E+05,2.40E+05,9.63E+03,1.20E+04,2.57E+04,2.60E+04,3.62E+04,8.87E+03,1.11E+04,2.01E+03,2.11E+03,4.17E+03,1.77E+03,2.35E+03
