PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E+04,1.47E+05,2.06E+05,3.21E+05,5.13E+05,6.59E+05,1.47E+04,1.25E+04,3.90E+04,3.62E+04,5.36E+04,2.65E+03,1.41E+03,3.45E+03
1.0216,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.29E+04,1.44E+05,2.02E+05,3.14E+05,4.86E+05,6.25E+05,1.43E+04,1.23E+04,3.79E+04,3.52E+04,5.21E+04,2.57E+03,1.37E+03,3.34E+03
1.0297,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E+04,3.28E+04,1.42E+05,2.01E+05,3.12E+05,4.77E+05,6.12E+05,1.41E+04,1.22E+04,3.74E+04,3.48E+04,5.15E+04,2.54E+03,1.36E+03,3.30E+03
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.65E+04,2.76E+04,9.12E+04,1.30E+05,1.92E+05,1.72E+05,2.18E+05,8.15E+03,7.89E+03,2.13E+04,2.00E+04,2.87E+04,1.40E+03,8.31E+02,1.84E+03
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.87E+04,2.15E+04,6.05E+04,8.11E+04,1.17E+05,7.20E+04,9.09E+04,5.24E+03,5.43E+03,1.34E+04,1.20E+04,1.69E+04,8.77E+02,5.55E+02,1.14E+03
2.7829,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.18E+04,1.46E+04,3.56E+04,4.23E+04,5.93E+04,2.45E+04,3.06E+04,3.08E+03,3.39E+03,7.60E+03,6.18E+03,8.50E+03,5.05E+02,3.36E+02,6.41E+02
2.8052,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.28E+05,1.16E+04,1.44E+04,3.52E+04,4.16E+04,5.82E+04,2.38E+04,2.98E+04,3.04E+03,3.35E+03,7.50E+03,6.08E+03,8.35E+03,4.99E+02,3.32E+02,6.32E+02
2.9084,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.59E+05,1.10E+04,1.37E+04,3.31E+04,3.85E+04,5.37E+04,2.11E+04,2.63E+04,2.87E+03,3.17E+03,7.03E+03,5.62E+03,7.70E+03,4.69E+02,3.14E+02,5.92E+02
2.9316,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.36E+05,3.52E+05,1.09E+04,1.36E+04,3.26E+04,3.78E+04,5.28E+04,2.05E+04,2.56E+04,2.83E+03,3.13E+03,6.93E+03,5.52E+03,7.57E+03,4.63E+02,3.10E+02,5.84E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.38E+05,3.33E+05,1.05E+04,1.32E+04,3.13E+04,3.59E+04,5.01E+04,1.89E+04,2.37E+04,2.73E+03,3.02E+03,6.65E+03,5.25E+03,7.18E+03,4.45E+02,2.99E+02,5.60E+02
