PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.54E+05,2.09E+05,3.32E+05,6.23E+05,8.03E+05,1.60E+04,1.33E+04,4.56E+04,4.48E+04,6.74E+04,3.54E+03,2.47E+03,7.21E+03,3.99E+02
1.048,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.46E+05,2.03E+05,3.20E+05,5.58E+05,7.17E+05,1.50E+04,1.27E+04,4.27E+04,4.23E+04,6.33E+04,3.29E+03,2.34E+03,6.72E+03,3.69E+02
1.0564,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.05E+04,1.45E+05,2.02E+05,3.18E+05,5.47E+05,7.03E+05,1.48E+04,1.26E+04,4.22E+04,4.18E+04,6.26E+04,3.25E+03,2.31E+03,6.64E+03,3.64E+02
1.1901,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.85E+04,1.28E+05,1.84E+05,2.83E+05,4.06E+05,5.19E+05,1.25E+04,1.11E+04,3.55E+04,3.57E+04,5.28E+04,2.70E+03,2.00E+03,5.53E+03,2.98E+02
1.1997,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.46E+04,2.84E+04,1.27E+05,1.82E+05,2.80E+05,3.97E+05,5.09E+05,1.24E+04,1.10E+04,3.51E+04,3.53E+04,5.22E+04,2.67E+03,1.98E+03,5.46E+03,2.94E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.63E+04,2.60E+04,9.71E+04,1.40E+05,2.09E+05,2.17E+05,2.76E+05,8.96E+03,8.55E+03,2.50E+04,2.53E+04,3.67E+04,1.88E+03,1.49E+03,3.84E+03,2.01E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+04,2.11E+04,6.52E+04,8.97E+04,1.30E+05,9.27E+04,1.17E+05,5.79E+03,5.98E+03,1.58E+04,1.54E+04,2.19E+04,1.18E+03,1.01E+03,2.40E+03,1.19E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E+04,1.35E+04,3.42E+04,4.09E+04,5.72E+04,2.50E+04,3.12E+04,3.04E+03,3.40E+03,7.88E+03,6.89E+03,9.50E+03,6.04E+02,5.56E+02,1.18E+03,6.11E+01
3.1076,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E+04,1.29E+04,3.22E+04,3.80E+04,5.29E+04,2.22E+04,2.77E+04,2.87E+03,3.23E+03,7.40E+03,6.39E+03,8.78E+03,5.70E+02,5.27E+02,1.11E+03,5.76E+01
3.1325,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.80E+05,1.03E+04,1.28E+04,3.18E+04,3.73E+04,5.19E+04,2.16E+04,2.70E+04,2.84E+03,3.19E+03,7.29E+03,6.28E+03,8.62E+03,5.62E+02,5.20E+02,1.09E+03,5.69E+01
3.2553,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.04E+05,9.68E+03,1.21E+04,2.97E+04,3.43E+04,4.76E+04,1.89E+04,2.36E+04,2.66E+03,3.01E+03,6.80E+03,5.77E+03,7.91E+03,5.27E+02,4.90E+02,1.02E+03,5.33E+01
3.2813,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+05,2.98E+05,9.57E+03,1.20E+04,2.93E+04,3.37E+04,4.68E+04,1.84E+04,2.30E+04,2.63E+03,2.97E+03,6.70E+03,5.67E+03,7.76E+03,5.20E+02,4.84E+02,1.00E+03,5.26E+01
3.7696,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.52E+05,2.10E+05,7.75E+03,9.88E+03,2.29E+04,2.46E+04,3.38E+04,1.14E+04,1.41E+04,2.09E+03,2.40E+03,5.19E+03,4.15E+03,5.62E+03,4.10E+02,3.87E+02,7.75E+02,4.16E+01
3.7998,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.09E+04,1.49E+05,2.05E+05,7.66E+03,9.77E+03,2.26E+04,2.42E+04,3.32E+04,1.11E+04,1.37E+04,2.06E+03,2.37E+03,5.11E+03,4.07E+03,5.51E+03,4.04E+02,3.82E+02,7.64E+02,4.10E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.49E+04,1.30E+05,1.78E+05,7.06E+03,9.07E+03,2.06E+04,2.14E+04,2.93E+04,9.21E+03,1.14E+04,1.89E+03,2.18E+03,4.64E+03,3.61E+03,4.87E+03,3.70E+02,3.51E+02,6.93E+02,3.76E+01
4.4785,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.30E+04,9.49E+04,1.28E+05,5.90E+03,7.63E+03,1.66E+04,1.63E+04,2.21E+04,6.13E+03,7.57E+03,1.56E+03,1.81E+03,3.74E+03,2.75E+03,3.69E+03,3.04E+02,2.91E+02,5.57E+02,3.09E+01
4.5143,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.33E+04,6.22E+04,9.28E+04,1.25E+05,5.83E+03,7.54E+03,1.64E+04,1.60E+04,2.17E+04,5.96E+03,7.35E+03,1.54E+03,1.79E+03,3.68E+03,2.70E+03,3.62E+03,3.00E+02,2.87E+02,5.48E+02,3.05E+01
4.7953,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.19E+04,5.58E+04,7.80E+04,1.06E+05,5.28E+03,6.85E+03,1.46E+04,1.38E+04,1.86E+04,4.77E+03,5.88E+03,1.39E+03,1.61E+03,3.27E+03,2.33E+03,3.10E+03,2.70E+02,2.59E+02,4.87E+02,2.74E+01
4.8337,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E+04,2.17E+04,5.50E+04,7.63E+04,1.03E+05,5.21E+03,6.77E+03,1.44E+04,1.35E+04,1.82E+04,4.64E+03,5.71E+03,1.37E+03,1.59E+03,3.22E+03,2.28E+03,3.04E+03,2.66E+02,2.55E+02,4.79E+02,2.71E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+04,2.11E+04,5.15E+04,6.96E+04,9.39E+04,4.93E+03,6.41E+03,1.35E+04,1.24E+04,1.67E+04,4.09E+03,5.04E+03,1.29E+03,1.50E+03,3.01E+03,2.10E+03,2.79E+03,2.50E+02,2.40E+02,4.48E+02,2.55E+01
