PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E+05,2.11E+05,3.36E+05,6.63E+05,8.54E+05,1.64E+04,1.35E+04,4.79E+04,4.77E+04,7.21E+04,3.84E+03,2.73E+03,8.22E+03,3.79E+02,5.38E+02,4.98E+02
1.1042,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E+05,1.97E+05,3.10E+05,5.23E+05,6.72E+05,1.43E+04,1.22E+04,4.16E+04,4.21E+04,6.31E+04,3.30E+03,2.42E+03,7.08E+03,3.32E+02,4.68E+02,4.23E+02
1.113,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.92E+04,1.40E+05,1.96E+05,3.08E+05,5.13E+05,6.59E+05,1.41E+04,1.21E+04,4.11E+04,4.17E+04,6.24E+04,3.26E+03,2.40E+03,6.99E+03,3.28E+02,4.62E+02,4.17E+02
1.25,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E+04,1.23E+05,1.77E+05,2.72E+05,3.82E+05,4.89E+05,1.20E+04,1.07E+04,3.47E+04,3.56E+04,5.27E+04,2.72E+03,2.08E+03,5.85E+03,2.78E+02,3.88E+02,3.44E+02
1.26,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.27E+04,2.70E+04,1.22E+05,1.76E+05,2.70E+05,3.74E+05,4.78E+05,1.19E+04,1.06E+04,3.43E+04,3.52E+04,5.21E+04,2.69E+03,2.06E+03,5.78E+03,2.74E+02,3.83E+02,3.39E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E+04,2.52E+04,9.88E+04,1.43E+05,2.14E+05,2.33E+05,2.97E+05,9.22E+03,8.74E+03,2.63E+04,2.71E+04,3.95E+04,2.04E+03,1.65E+03,4.39E+03,2.09E+02,2.89E+02,2.52E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+04,2.09E+04,6.67E+04,9.25E+04,1.34E+05,1.00E+05,1.27E+05,5.97E+03,6.14E+03,1.66E+04,1.66E+04,2.36E+04,1.29E+03,1.12E+03,2.73E+03,1.29E+02,1.71E+02,1.53E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+04,1.36E+04,3.52E+04,4.27E+04,5.96E+04,2.73E+04,3.41E+04,3.15E+03,3.52E+03,8.31E+03,7.48E+03,1.03E+04,6.60E+02,6.21E+02,1.35E+03,5.81E+01,7.45E+01,7.56E+01
3.2203,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.95E+03,1.24E+04,3.12E+04,3.67E+04,5.10E+04,2.15E+04,2.68E+04,2.80E+03,3.17E+03,7.32E+03,6.42E+03,8.82E+03,5.86E+02,5.57E+02,1.19E+03,4.99E+01,6.37E+01,6.72E+01
3.2461,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+05,9.83E+03,1.23E+04,3.07E+04,3.60E+04,5.01E+04,2.09E+04,2.61E+04,2.77E+03,3.13E+03,7.22E+03,6.31E+03,8.66E+03,5.78E+02,5.50E+02,1.17E+03,4.90E+01,6.26E+01,6.63E+01
