PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E+05,2.10E+05,3.43E+05,7.41E+05,9.57E+05,1.70E+04,1.37E+04,5.20E+04,5.24E+04,7.98E+04,7.05E+03,8.92E+03,4.14E+03,2.89E+03,9.08E+03,4.17E+02,5.88E+02,5.19E+02
1.2095,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+05,1.86E+05,2.92E+05,4.72E+05,6.05E+05,1.31E+04,1.14E+04,3.96E+04,4.13E+04,6.16E+04,4.62E+03,5.80E+03,3.10E+03,2.30E+03,6.81E+03,3.22E+02,4.48E+02,3.79E+02
1.2192,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E+04,1.30E+05,1.85E+05,2.90E+05,4.63E+05,5.93E+05,1.30E+04,1.13E+04,3.92E+04,4.08E+04,6.09E+04,4.53E+03,5.69E+03,3.06E+03,2.28E+03,6.72E+03,3.18E+02,4.43E+02,3.74E+02
1.3629,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.45E+04,1.15E+05,1.67E+05,2.55E+05,3.47E+05,4.43E+05,1.11E+04,1.00E+04,3.32E+04,3.49E+04,5.15E+04,3.47E+03,4.34E+03,2.57E+03,1.99E+03,5.65E+03,2.70E+02,3.72E+02,3.10E+02
1.3738,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.95E+04,2.44E+04,1.14E+05,1.65E+05,2.53E+05,3.40E+05,4.34E+05,1.10E+04,9.93E+03,3.28E+04,3.45E+04,5.08E+04,3.40E+03,4.25E+03,2.54E+03,1.97E+03,5.58E+03,2.66E+02,3.68E+02,3.06E+02
1.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.60E+04,2.37E+04,1.03E+05,1.49E+05,2.25E+05,2.68E+05,3.41E+05,9.68E+03,9.01E+03,2.87E+04,3.02E+04,4.41E+04,2.72E+03,3.40E+03,2.21E+03,1.76E+03,4.85E+03,2.32E+02,3.18E+02,2.63E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+04,2.02E+04,6.97E+04,9.79E+04,1.43E+05,1.17E+05,1.47E+05,6.30E+03,6.40E+03,1.82E+04,1.87E+04,2.67E+04,1.26E+03,1.55E+03,1.40E+03,1.21E+03,3.03E+03,1.45E+02,1.90E+02,1.60E+02
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E+04,1.36E+04,3.71E+04,4.61E+04,6.46E+04,3.23E+04,4.03E+04,3.34E+03,3.72E+03,9.12E+03,8.53E+03,1.18E+04,3.73E+02,4.47E+02,7.18E+02,6.77E+02,1.50E+03,6.59E+01,8.37E+01,7.90E+01
3.4395,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.21E+03,1.15E+04,2.94E+04,3.45E+04,4.78E+04,2.04E+04,2.54E+04,2.67E+03,3.05E+03,7.14E+03,6.37E+03,8.71E+03,2.39E+02,2.87E+02,5.71E+02,5.50E+02,1.17E+03,4.92E+01,6.19E+01,6.29E+01
3.467,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.01E+05,9.10E+03,1.14E+04,2.90E+04,3.39E+04,4.69E+04,1.99E+04,2.47E+04,2.64E+03,3.01E+03,7.04E+03,6.26E+03,8.56E+03,2.32E+02,2.80E+02,5.63E+02,5.43E+02,1.15E+03,4.83E+01,6.08E+01,6.20E+01
