Atom    Barkla Notation    Orbital Notation      Binding Energies
------  -----------------  ------------------  ------------------
Yb      N1                 4s 1/2                          471
Yb      N2                 4p 1/2                          386.04
Yb      N3                 4p 3/2                          334.92
Yb      N4                 4d 3/2                          193.73
Yb      N5                 4d 5/2                          184.44
Yb      O1                 5s 1/2                           59.9
Lu      N1                 4s 1/2                          497.85
Lu      N2                 4p 1/2                          410.19
Lu      N3                 4p 3/2                          355.05
Lu      N4                 4d 3/2                          209.38
Lu      N5                 4d 5/2                          199.32
Lu      O1                 5s 1/2                           66.34
Hf      N1                 4s 1/2                          525.69
Hf      N2                 4p 1/2                          435.27
Hf      N3                 4p 3/2                          375.82
Hf      N4                 4d 3/2                          225.59
Hf      N5                 4d 5/2                          214.71
Hf      O1                 5s 1/2                           72.56
Ta      N1                 4s 1/2                          554.65
Ta      N2                 4p 1/2                          461.41
Ta      N3                 4p 3/2                          397.36
Ta      N4                 4d 3/2                          242.48
Ta      N5                 4d 5/2                          230.72
Ta      O1                 5s 1/2                           78.81
Ta      O2                 5p 1/2                           51.15
W       N1                 4s 1/2                          584.7
W       N2                 4p 1/2                          488.61
W       N3                 4p 3/2                          419.62
W       N4                 4d 3/2                          260.05
W       N5                 4d 5/2                          247.34
W       O1                 5s 1/2                           85.14
W       O2                 5p 1/2                           56.02
Re      N1                 4s 1/2                          615.83
Re      N2                 4p 1/2                          516.83
Re      N3                 4p 3/2                          442.59
Re      N4                 4d 3/2                          278.26
Re      N5                 4d 5/2                          264.54
Re      N6                 4f 5/2                           55.64
Re      N7                 4f 7/2                           52.99
Re      O1                 5s 1/2                           91.57
Re      O2                 5p 1/2                           60.97
Os      N1                 4s 1/2                          648.03
Os      N2                 4p 1/2                          546.07
Os      N3                 4p 3/2                          466.23
Os      N4                 4d 3/2                          297.08
Os      N5                 4d 5/2                          282.29
Os      N6                 4f 5/2                           66.21
Os      N7                 4f 7/2                           63.26
Os      O1                 5s 1/2                           98.12
Os      O2                 5p 1/2                           66.01
Os      O3                 5p 3/2                           53.15
