Atom    Auger Transition/Notation(Barkla)    Auger Transition/Notation(Orbital)      Auger Energies/Core State Energies
------  -----------------------------------  ------------------------------------  ------------------------------------
Li      L1                                   2s 1/2                                                                5.5
Be      L1                                   2s 1/2                                                                8.18
B       L1                                   2s 1/2                                                               12.58
B       L2                                   2p 1/2                                                                6.67
B       L3                                   2p 3/2                                                                6.66
C       L1                                   2s 1/2                                                               17.56
C       L2                                   2p 1/2                                                                8.99
C       L3                                   2p 3/2                                                                8.98
N       L2                                   2p 1/2                                                               11.5
N       L3                                   2p 3/2                                                               11.48
O       L2                                   2p 1/2                                                               14.19
O       L3                                   2p 3/2                                                               14.15
F       L2                                   2p 1/2                                                               17.05
F       L3                                   2p 3/2                                                               16.98
Ne      L3                                   2p 3/2                                                               19.96
Na      M1                                   3s 1/2                                                                5.15
Mg      M1                                   3s 1/2                                                                6.89
Al      M1                                   3s 1/2                                                               10.16
Al      M2                                   3p 1/2                                                                4.88
Al      M3                                   3p 3/2                                                                4.87
Si      M1                                   3s 1/2                                                               13.63
Si      M2                                   3p 1/2                                                                6.55
Si      M3                                   3p 3/2                                                                6.52
P       M1                                   3s 1/2                                                               17.21
P       M2                                   3p 1/2                                                                8.38
P       M3                                   3p 3/2                                                                8.33
S       M2                                   3p 1/2                                                               10.34
S       M3                                   3p 3/2                                                               10.25
Cl      M2                                   3p 1/2                                                               12.42
Cl      M3                                   3p 3/2                                                               12.29
Ar      M2                                   3p 1/2                                                               14.62
Ar      M3                                   3p 3/2                                                               14.43
K       N1                                   4s 1/2                                                                4.22
Ca      N1                                   4s 1/2                                                                5.45
Sc      M4                                   3d 3/2                                                                7.08
Sc      M5                                   3d 5/2                                                                7.04
Sc      N1                                   4s 1/2                                                                5.9
Ti      M4                                   3d 3/2                                                                8.39
Ti      M5                                   3d 5/2                                                                8.34
Ti      N1                                   4s 1/2                                                                6.28
V       M4                                   3d 3/2                                                                9.61
V       M5                                   3d 5/2                                                                9.53
V       N1                                   4s 1/2                                                                6.63
Cr      M4                                   3d 3/2                                                                6.46
Cr      M5                                   3d 5/2                                                                6.37
Cr      N1                                   4s 1/2                                                                5.96
Mn      M4                                   3d 3/2                                                               11.85
Mn      M5                                   3d 5/2                                                               11.72
Mn      N1                                   4s 1/2                                                                7.25
Fe      M4                                   3d 3/2                                                               12.91
Fe      M5                                   3d 5/2                                                               12.74
Fe      N1                                   4s 1/2                                                                7.53
Co      M4                                   3d 3/2                                                               13.93
Co      M5                                   3d 5/2                                                               13.72
Co      N1                                   4s 1/2                                                                7.81
Ni      M4                                   3d 3/2                                                               14.92
Ni      M5                                   3d 5/2                                                               14.66
Ni      N1                                   4s 1/2                                                                8.09
Cu      M4                                   3d 3/2                                                               10.09
Cu      M5                                   3d 5/2                                                                9.8
Cu      N1                                   4s 1/2                                                                7.11
Zn      M4                                   3d 3/2                                                               16.85
Zn      M5                                   3d 5/2                                                               16.46
Zn      N1                                   4s 1/2                                                                8.61
Ga      N1                                   4s 1/2                                                               11.69
Ga      N2                                   4p 1/2                                                                5
Ga      N3                                   4p 3/2                                                                4.88
Ga      L1,M4,N1                             2s1/2 3d3/2 4s1/2                                                     9.23
Ga      L1,M4,N2                             2s1/2 3d3/2 4p1/2                                                     1.74
Ga      L1,M4,N3                             2s1/2 3d3/2 4p3/2                                                     1.58
Ga      L1,M5,N1                             2s1/2 3d5/2 4s1/2                                                     8.66
Ga      L1,M5,N2                             2s1/2 3d5/2 4p1/2                                                     1.18
Ga      L1,M5,N3                             2s1/2 3d5/2 4p3/2                                                     1.01
Ge      N1                                   4s 1/2                                                               14.78
Ge      N2                                   4p 1/2                                                                6.5
Ge      N3                                   4p 3/2                                                                6.29
Ge      L1,M2,N1                             2s1/2 3p1/2 4s1/2                                                     6.78
Ge      L1,M3,N1                             2s1/2 3p3/2 4s1/2                                                     2
Ge      L2,N2,N2                             2p1/2 4p1/2 4p1/2                                                    12.82
Ge      L2,N2,N3                             2p1/2 4p1/2 4p3/2                                                    12.56
Ge      L2,N3,N3                             2p1/2 4p3/2 4p3/2                                                    12.3
As      N1                                   4s 1/2                                                               17.86
As      N2                                   4p 1/2                                                                8.12
As      N3                                   4p 3/2                                                                7.81
As      L1,M1,M4                             2s1/2 3s1/2 3d3/2                                                     6.57
As      L1,M1,M5                             2s1/2 3s1/2 3d5/2                                                     5.72
As      L2,M4,M4                             2p1/2 3d3/2 3d3/2                                                     4.13
As      L2,M4,M5                             2p1/2 3d3/2 3d5/2                                                     3.27
As      L2,M5,M5                             2p1/2 3d5/2 3d5/2                                                     2.42
As      L3,M4,N1                             2p3/2 3d3/2 4s1/2                                                     2.84
As      L3,M5,N1                             2p3/2 3d5/2 4s1/2                                                     1.98
Se      N2                                   4p 1/2                                                                9.82
