Atom    Auger Transition/Notation      Auger Energies/Core State Energies
------  ---------------------------  ------------------------------------
Li      K                                                           59.85
Li      K,L1,L1                                                     46.17
Be      K                                                          118.36
Be      K,L1,L1                                                     97.6
B       K                                                          195.61
B       L1                                                          12.58
B       K,L1,L1                                                    165.47
B       K,L1,L2                                                    172.71
B       K,L1,L3                                                    172.72
B       K,L2,L2                                                    179.95
B       K,L2,L3                                                    179.96
B       K,L3,L3                                                    179.97
C       K                                                          291.01
C       L1                                                          17.56
C       K,L1,L1                                                    250.35
C       K,L1,L2                                                    260.44
C       K,L1,L3                                                    260.45
C       K,L2,L2                                                    270.52
C       K,L2,L3                                                    270.53
C       K,L3,L3                                                    270.55
N       K                                                          404.85
N       L1                                                          23.1
N       L2                                                          11.5
N       L3                                                          11.48
N       K,L1,L1                                                    352.52
N       K,L1,L2                                                    365.84
N       K,L1,L3                                                    365.87
N       K,L2,L2                                                    379.16
N       K,L2,L3                                                    379.19
N       K,L3,L3                                                    379.22
O       L1                                                          29.23
O       L2                                                          14.19
O       L3                                                          14.15
O       K,L1,L1                                                    472.12
O       K,L1,L2                                                    489.08
O       K,L1,L3                                                    489.13
F       L1                                                          35.93
F       L2                                                          17.05
F       L3                                                          16.98
Ne      L1                                                          43.23
Ne      L2                                                          20.08
Ne      L3                                                          19.96
Na      L1                                                          64.48
Na      L2                                                          36.42
Na      L3                                                          36.22
Na      L1,L2,M1                                                    11.98
Na      L1,L3,M1                                                    12.23
Na      L1,M1,M1                                                    52.44
Na      L2,M1,M1                                                    24.38
Na      L3,M1,M1                                                    24.18
Mg      L1                                                          89.46
Mg      L2                                                          56.55
Mg      L3                                                          56.24
Mg      L1,L2,M1                                                    12.06
Mg      L1,L3,M1                                                    12.45
Mg      L1,M1,M1                                                    72.41
Mg      L2,M1,M1                                                    39.5
Mg      L3,M1,M1                                                    39.19
Al      L1                                                         119.05
Al      L2                                                          81.2
Al      L3                                                          80.73
Al      M1                                                          10.16
Al      L1,L2,M1                                                    12.22
Al      L1,L2,M2                                                    18.4
Al      L1,L2,M3                                                    18.42
Al      L1,L3,M1                                                    12.8
Al      L1,L3,M2                                                    18.98
Al      L1,L3,M3                                                    19
Al      L1,M1,M1                                                    95.26
Al      L1,M1,M2                                                   101.44
Al      L1,M1,M3                                                   101.46
Al      L1,M2,M2                                                   107.62
Al      L1,M2,M3                                                   107.64
Al      L1,M3,M3                                                   107.66
Al      L2,M1,M1                                                    57.41
Al      L2,M1,M2                                                    63.59
Al      L2,M1,M3                                                    63.61
Al      L2,M2,M2                                                    69.77
Al      L2,M2,M3                                                    69.79
Al      L2,M3,M3                                                    69.81
Al      L3,M1,M1                                                    56.94
Al      L3,M1,M2                                                    63.12
Al      L3,M1,M3                                                    63.14
Al      L3,M2,M2                                                    69.3
Al      L3,M2,M3                                                    69.32
Al      L3,M3,M3                                                    69.34
Si      L1                                                         151.55
Si      L2                                                         108.67
Si      L3                                                         107.98
Si      M1                                                          13.63
Si      L1,L2,M1                                                    12.23
Si      L1,L2,M2                                                    20.18
Si      L1,L2,M3                                                    20.22
Si      L1,L3,M1                                                    13.05
Si      L1,L3,M2                                                    21
Si      L1,L3,M3                                                    21.04
Si      L1,M1,M1                                                   120.71
Si      L1,M1,M2                                                   128.66
Si      L1,M1,M3                                                   128.7
Si      L1,M2,M2                                                   136.62
Si      L1,M2,M3                                                   136.66
Si      L1,M3,M3                                                   136.7
Si      L2,M1,M1                                                    77.83
Si      L2,M1,M2                                                    85.78
Si      L2,M1,M3                                                    85.83
Si      L2,M2,M2                                                    93.74
Si      L2,M2,M3                                                    93.78
Si      L2,M3,M3                                                    93.82
Si      L3,M1,M1                                                    77.14
Si      L3,M1,M2                                                    85.09
Si      L3,M1,M3                                                    85.14
Si      L3,M2,M2                                                    93.05
Si      L3,M2,M3                                                    93.09
